[792, 612]
[folio, [209.0, 26.0, 232.0, 18.0], O603nehtR2, 5743554]
[paragraph, [112.0, 53.0, 423.0, 18.0], shoonya_0sRCMOL9NP8LL2, 5743554]
[paragraph, [112.0, 71.0, 423.0, 18.0], shoonya_0sRCMOL9NP8LL2, 5743554]
[paragraph, [112.0, 89.0, 423.0, 18.0], shoonya_0sRCMOL9NP8LL2, 5743554]
[section-title, [113.0, 123.0, 153.0, 30.0], G7fwzURjv3, 5743554]
[paragraph, [109.0, 165.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 183.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 201.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 219.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 237.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 255.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 273.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 291.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 309.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 327.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 345.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 363.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [109.0, 381.0, 433.0, 18.0], FRW-eQ0kVA, 5743554]
[paragraph, [107.0, 403.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [107.0, 421.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [107.0, 439.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [107.0, 457.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [107.0, 475.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [107.0, 493.0, 427.0, 18.0], sLW00_pVQq, 5743554]
[paragraph, [105.0, 528.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 546.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 564.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 582.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 600.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 618.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 636.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 654.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 672.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 690.0, 436.0, 18.0], vxSQH-389I, 5743554]
[paragraph, [105.0, 708.0, 436.0, 18.0], vxSQH-389I, 5743554]
