[1326, 829]
[folio, [334.0, 74.0, 148.0, 18.0], shoonya_2sUTY28PSE2M45, 5769795]
[folio, [334.0, 92.0, 148.0, 18.0], shoonya_2sUTY28PSE2M45, 5769795]
[paragraph, [85.0, 131.0, 291.0, 18.0], shoonya_0sBB1DYDU8FPUT, 5769795]
[paragraph, [85.0, 149.0, 291.0, 18.0], shoonya_0sBB1DYDU8FPUT, 5769795]
[paragraph, [85.0, 167.0, 291.0, 18.0], shoonya_0sBB1DYDU8FPUT, 5769795]
[paragraph, [455.0, 136.0, 170.0, 18.0], -YCSzIHVek, 5769795]
[paragraph, [438.0, 163.0, 227.0, 18.0], nf1vIrT6y1, 5769795]
[paragraph, [438.0, 181.0, 227.0, 18.0], nf1vIrT6y1, 5769795]
[paragraph, [438.0, 199.0, 227.0, 18.0], nf1vIrT6y1, 5769795]
[paragraph, [91.0, 190.0, 262.0, 18.0], oRes97zcMX, 5769795]
[paragraph, [91.0, 208.0, 262.0, 18.0], oRes97zcMX, 5769795]
[paragraph, [91.0, 226.0, 262.0, 18.0], oRes97zcMX, 5769795]
[paragraph, [433.0, 217.0, 243.0, 18.0], 0bv-9kFJO6, 5769795]
[paragraph, [433.0, 235.0, 243.0, 18.0], 0bv-9kFJO6, 5769795]
[paragraph, [433.0, 253.0, 243.0, 18.0], 0bv-9kFJO6, 5769795]
[paragraph, [87.0, 238.0, 289.0, 18.0], W6vF0-xcxp, 5769795]
[paragraph, [87.0, 256.0, 289.0, 18.0], W6vF0-xcxp, 5769795]
[paragraph, [87.0, 274.0, 289.0, 18.0], W6vF0-xcxp, 5769795]
[paragraph, [437.0, 267.0, 243.0, 18.0], qDle5H_DhQ, 5769795]
[paragraph, [437.0, 285.0, 243.0, 18.0], qDle5H_DhQ, 5769795]
[paragraph, [437.0, 303.0, 243.0, 18.0], qDle5H_DhQ, 5769795]
[paragraph, [92.0, 295.0, 283.0, 18.0], TJvUIkPR5m, 5769795]
[paragraph, [92.0, 313.0, 283.0, 18.0], TJvUIkPR5m, 5769795]
[paragraph, [429.0, 317.0, 261.0, 18.0], f331SS6LzR, 5769795]
[paragraph, [429.0, 335.0, 261.0, 18.0], f331SS6LzR, 5769795]
[paragraph, [429.0, 353.0, 261.0, 18.0], f331SS6LzR, 5769795]
[paragraph, [87.0, 344.0, 299.0, 18.0], _2O-YJd6LQ, 5769795]
[paragraph, [87.0, 362.0, 299.0, 18.0], _2O-YJd6LQ, 5769795]
[paragraph, [87.0, 380.0, 299.0, 18.0], _2O-YJd6LQ, 5769795]
[paragraph, [421.0, 369.0, 263.0, 18.0], ktiJ5YFUjp, 5769795]
[paragraph, [421.0, 387.0, 263.0, 18.0], ktiJ5YFUjp, 5769795]
[paragraph, [421.0, 405.0, 263.0, 18.0], ktiJ5YFUjp, 5769795]
[paragraph, [100.0, 398.0, 287.0, 18.0], VlhLIWNuHo, 5769795]
[paragraph, [100.0, 416.0, 287.0, 18.0], VlhLIWNuHo, 5769795]
[paragraph, [100.0, 434.0, 287.0, 18.0], VlhLIWNuHo, 5769795]
[paragraph, [439.0, 426.0, 196.0, 18.0], hzq4HnvjmR, 5769795]
[paragraph, [439.0, 444.0, 196.0, 18.0], hzq4HnvjmR, 5769795]
[paragraph, [92.0, 448.0, 282.0, 18.0], 5Xvh06fVGX, 5769795]
[paragraph, [92.0, 466.0, 282.0, 18.0], 5Xvh06fVGX, 5769795]
[paragraph, [92.0, 484.0, 282.0, 18.0], 5Xvh06fVGX, 5769795]
[paragraph, [430.0, 476.0, 201.0, 18.0], 9kDRBMXs0W, 5769795]
[paragraph, [430.0, 494.0, 201.0, 18.0], 9kDRBMXs0W, 5769795]
[paragraph, [430.0, 512.0, 201.0, 18.0], 9kDRBMXs0W, 5769795]
[paragraph, [84.0, 502.0, 220.0, 18.0], pLahgyS0_g, 5769795]
[paragraph, [84.0, 520.0, 220.0, 18.0], pLahgyS0_g, 5769795]
[paragraph, [439.0, 525.0, 189.0, 18.0], C8_p8KuksJ, 5769795]
[paragraph, [439.0, 543.0, 189.0, 18.0], C8_p8KuksJ, 5769795]
[paragraph, [439.0, 561.0, 189.0, 18.0], C8_p8KuksJ, 5769795]
[paragraph, [98.0, 551.0, 209.0, 18.0], nR09Y91GjI, 5769795]
[paragraph, [98.0, 569.0, 209.0, 18.0], nR09Y91GjI, 5769795]
[paragraph, [430.0, 577.0, 217.0, 18.0], RCKPE-T1eE, 5769795]
[paragraph, [430.0, 595.0, 217.0, 18.0], RCKPE-T1eE, 5769795]
[paragraph, [430.0, 613.0, 217.0, 18.0], RCKPE-T1eE, 5769795]
[paragraph, [91.0, 599.0, 214.0, 18.0], GdxzXgpOfd, 5769795]
[paragraph, [91.0, 617.0, 214.0, 18.0], GdxzXgpOfd, 5769795]
[paragraph, [91.0, 635.0, 214.0, 18.0], GdxzXgpOfd, 5769795]
[paragraph, [416.0, 633.0, 332.0, 18.0], rI-zc4Dakv, 5769795]
[paragraph, [416.0, 651.0, 332.0, 18.0], rI-zc4Dakv, 5769795]
[paragraph, [84.0, 650.0, 215.0, 18.0], Gq2t-nyIPO, 5769795]
[paragraph, [84.0, 668.0, 215.0, 18.0], Gq2t-nyIPO, 5769795]
[paragraph, [84.0, 686.0, 215.0, 18.0], Gq2t-nyIPO, 5769795]
[paragraph, [419.0, 665.0, 332.0, 18.0], cR8nhxewxp, 5769795]
[paragraph, [419.0, 683.0, 332.0, 18.0], cR8nhxewxp, 5769795]
[paragraph, [419.0, 701.0, 332.0, 18.0], cR8nhxewxp, 5769795]
[paragraph, [419.0, 719.0, 332.0, 18.0], cR8nhxewxp, 5769795]
