[1050, 693]
[folio, [522.0, 81.0, 88.0, 18.0], shoonya_2s22UBRH03VOL4, 5702564]
[folio, [522.0, 99.0, 88.0, 18.0], shoonya_2s22UBRH03VOL4, 5702564]
[paragraph, [79.0, 132.0, 530.0, 18.0], shoonya_0sW31Y8N0K41LZ, 5702564]
[paragraph, [79.0, 150.0, 530.0, 18.0], shoonya_0sW31Y8N0K41LZ, 5702564]
[paragraph, [79.0, 168.0, 530.0, 18.0], shoonya_0sW31Y8N0K41LZ, 5702564]
[paragraph, [79.0, 186.0, 530.0, 18.0], shoonya_0sW31Y8N0K41LZ, 5702564]
[paragraph, [79.0, 204.0, 530.0, 18.0], shoonya_0sW31Y8N0K41LZ, 5702564]
[paragraph, [87.0, 235.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 253.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 271.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 289.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 307.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 325.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 343.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 361.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 379.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 397.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 415.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 433.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 451.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 469.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 487.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 505.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 523.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 541.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 559.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 577.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 595.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [87.0, 613.0, 527.0, 18.0], shoonya_1s1Q2MT4KB99L9, 5702564]
[paragraph, [85.0, 653.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 671.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 689.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 707.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 725.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 743.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [85.0, 761.0, 529.0, 18.0], shoonya_3sVV6TXVJ4AP15, 5702564]
[paragraph, [138.0, 781.0, 229.0, 18.0], sjEIEWdoJg, 5702564]
[paragraph, [88.0, 812.0, 523.0, 18.0], NXBEJDJORU, 5702564]
[paragraph, [88.0, 830.0, 523.0, 18.0], NXBEJDJORU, 5702564]
[paragraph, [88.0, 848.0, 523.0, 18.0], NXBEJDJORU, 5702564]
[paragraph, [87.0, 878.0, 524.0, 18.0], mORjNXrl9J, 5702564]
[paragraph, [87.0, 896.0, 524.0, 18.0], mORjNXrl9J, 5702564]
[paragraph, [87.0, 914.0, 524.0, 18.0], mORjNXrl9J, 5702564]
[paragraph, [140.0, 940.0, 471.0, 18.0], tscthelQob, 5702564]
