[792, 576]
[section-title, [45.0, 13.0, 100.0, 30.0], Xfcw4Erwai, 5726062]
[paragraph, [44.0, 51.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 69.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 87.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 105.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 123.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 141.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 159.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 177.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[paragraph, [44.0, 195.0, 387.0, 18.0], LcLPD-RSam, 5726062]
[section-title, [45.0, 239.0, 179.0, 30.0], JH3UGaikkS, 5726062]
[paragraph, [44.0, 277.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 295.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 313.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 331.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 349.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 367.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 385.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 403.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 421.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 439.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
[paragraph, [44.0, 457.0, 416.0, 18.0], shoonya_0sTI2CJJNZVR6H, 5726062]
