[1823, 1375]
[folio, [543.0, 112.0, 286.0, 36.0], shoonya_5sB4J4CV3M3MN7, 5683614]
[paragraph, [106.0, 179.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 215.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 251.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 287.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 323.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 359.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 395.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 431.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 467.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 503.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 539.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 575.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 611.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 647.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 683.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 719.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 755.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 791.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 827.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 863.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 899.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 935.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 971.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1007.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1043.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1079.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1115.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1151.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1187.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1223.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
[paragraph, [106.0, 1259.0, 562.0, 36.0], shoonya_0sKA4CWJ50YKRB, 5683614]
