[1492, 1000]
[folio, [408.0, 154.0, 204.0, 18.0], shoonya_2s95CY185XPVPU, 5720820]
[paragraph, [146.0, 202.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 220.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 238.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 256.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 274.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 292.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 310.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 328.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 346.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 364.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 382.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 400.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 418.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 436.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [146.0, 454.0, 745.0, 18.0], shoonya_0s876ICPCQ5EVE, 5720820]
[paragraph, [148.0, 489.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 507.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 525.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 543.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 561.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 579.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 597.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 615.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 633.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 651.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 669.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 687.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 705.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 723.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 741.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 759.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 777.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 795.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 813.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 831.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 849.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 867.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 885.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 903.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 921.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 939.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 957.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [148.0, 975.0, 744.0, 18.0], 0e5xJY-BDt, 5720820]
[paragraph, [157.0, 1004.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1022.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1040.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1058.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1076.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1094.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1112.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1130.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1148.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1166.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1184.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1202.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1220.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1238.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1256.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1274.0, 736.0, 18.0], KM4jfc9m56, 5720820]
[paragraph, [157.0, 1292.0, 736.0, 18.0], KM4jfc9m56, 5720820]
