[515, 727]
[paragraph, [408.0, 45.0, 268.0, 18.0], uTtKWFGu6v, 6534122]
[paragraph, [408.0, 63.0, 268.0, 18.0], uTtKWFGu6v, 6534122]
[paragraph, [408.0, 81.0, 268.0, 18.0], uTtKWFGu6v, 6534122]
[paragraph, [408.0, 99.0, 268.0, 18.0], uTtKWFGu6v, 6534122]
[paragraph, [408.0, 117.0, 268.0, 18.0], uTtKWFGu6v, 6534122]
[paragraph, [115.0, 59.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 77.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 95.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 113.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 131.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 149.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 167.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 185.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 203.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [115.0, 221.0, 265.0, 18.0], shoonya_0sEP9HLAUSMLKJ, 6534122]
[paragraph, [401.0, 148.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 166.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 184.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 202.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 220.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 238.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 256.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 274.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 292.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 310.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 328.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 346.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 364.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 382.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [401.0, 400.0, 270.0, 18.0], 3NzqzyDk8l, 6534122]
[paragraph, [113.0, 255.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 273.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 291.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 309.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 327.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 345.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 363.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 381.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[paragraph, [113.0, 399.0, 262.0, 18.0], shoonya_1sIJZVWCWBLR2N, 6534122]
[folio, [317.0, 437.0, 57.0, 18.0], LpEbRR_xsH, 6534122]
