[1004, 621]
[paragraph, [32.0, 102.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 120.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 138.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 156.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 174.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 192.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 210.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 228.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 246.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 264.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 282.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 300.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 318.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 336.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 354.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 372.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 390.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 408.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 426.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 444.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 462.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 480.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 498.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 516.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 534.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 552.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 570.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 588.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 606.0, 552.0, 18.0], wmjmdI1G3y, 5740785]
[paragraph, [32.0, 637.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 655.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 673.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 691.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 709.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 727.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 745.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 763.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 781.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 799.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 817.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 835.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 853.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 871.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 889.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 907.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
[paragraph, [32.0, 925.0, 548.0, 18.0], Vz-prq_aXE, 5740785]
