[2906, 2048]
[ordered-list, [194.0, 249.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 295.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 342.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 388.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 435.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 481.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 528.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 574.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 621.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 667.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 714.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 760.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 807.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 853.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 900.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 946.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 993.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1039.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1086.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1132.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1179.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1225.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1272.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1318.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1365.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1411.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1458.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1504.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1551.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1597.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1644.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1690.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1737.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1783.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1830.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1876.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1923.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 1969.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 2016.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 2062.5, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[ordered-list, [194.0, 2109.0, 1634.0, 46.5], 77Wk6KK5jO, 6473819]
[section-title, [218.0, 2246.0, 1586.0, 79.5], CHmb4sDbe6, 6473819]
[section-title, [218.0, 2325.5, 1586.0, 79.5], CHmb4sDbe6, 6473819]
[paragraph, [218.0, 2477.0, 1580.0, 46.5], bb9AuvTjyB, 6473819]
[paragraph, [218.0, 2523.5, 1580.0, 46.5], bb9AuvTjyB, 6473819]
[paragraph, [218.0, 2570.0, 1580.0, 46.5], bb9AuvTjyB, 6473819]
