[1425, 1088]
[section-title, [108.0, 110.0, 229.0, 30.0], shoonya_9sQ15U2BV5J5P4, 5759357]
[paragraph, [105.0, 163.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 181.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 199.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 217.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 235.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 253.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[paragraph, [105.0, 271.0, 841.0, 18.0], shoonya_1sW1KSPQM2M37D, 5759357]
[figure-caption, [431.0, 630.0, 195.0, 18.0], shoonya_2sDQ7WJZW1YJ7F, 5759357]
[section-title, [104.0, 660.0, 563.0, 30.0], 1y2Nluu4Ln, 5759357]
[unordered-list, [99.0, 709.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 727.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 745.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 763.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 781.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 799.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 817.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 835.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 853.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 871.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 889.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 907.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[unordered-list, [99.0, 925.0, 344.0, 18.0], pbL1to_qHw, 5759357]
[section-title, [103.0, 974.0, 841.0, 30.0], ABLb-hF1ud, 5759357]
[section-title, [103.0, 1004.0, 841.0, 30.0], ABLb-hF1ud, 5759357]
[unordered-list, [101.0, 1055.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1073.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1091.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1109.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1127.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1145.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1163.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1181.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1199.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1217.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1235.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1253.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1271.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[unordered-list, [101.0, 1289.0, 848.0, 18.0], shoonya_13sODACZ23LS16, 5759357]
[folio, [102.0, 1343.0, 155.0, 18.0], shoonya_14s69YG11EDX6F, 5759357]
