[2339, 1653]
[paragraph, [388.0, 195.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 231.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 267.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 303.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 339.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 375.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 411.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 447.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 483.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 519.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 555.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 591.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 627.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 663.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 699.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [388.0, 735.0, 1074.0, 36.0], shoonya_0sWCB0UI578YX5, 5733658]
[paragraph, [389.0, 781.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 817.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 853.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 889.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 925.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 961.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 997.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 1033.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 1069.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 1105.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 1141.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [389.0, 1177.0, 1074.0, 36.0], shoonya_2sVJAKYT63R8AB, 5733658]
[paragraph, [388.0, 1245.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1281.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1317.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1353.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1389.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1425.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1461.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1497.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1533.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1569.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1605.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1641.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1677.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1713.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1749.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1785.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1821.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1857.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1893.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1929.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 1965.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 2001.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 2037.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[paragraph, [388.0, 2073.0, 1070.0, 36.0], shoonya_1sPPVPSK8VJIYA, 5733658]
[folio, [1108.0, 2185.0, 275.0, 36.0], PlO-xntyil, 5733658]
