[792, 612]
[paragraph, [107.0, 70.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 88.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 106.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 124.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 142.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 160.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 178.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 196.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 214.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [107.0, 232.0, 426.0, 18.0], shoonya_0s09TOTVJDF1RL, 5744011]
[paragraph, [113.0, 263.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 281.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 299.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 317.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 335.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 353.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 371.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 389.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 407.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 425.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 443.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 461.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [113.0, 479.0, 424.0, 18.0], GRZmr3aW6e, 5744011]
[paragraph, [111.0, 532.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 550.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 568.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 586.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 604.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 622.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 640.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 658.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 676.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
[paragraph, [111.0, 694.0, 420.0, 18.0], WTR4Yr2Z42, 5744011]
