[594, 353]
[folio, [99.0, 2.0, 162.0, 18.0], VOFinVFIRU, 5700898]
[paragraph, [10.0, 37.0, 336.0, 18.0], shoonya_0sX39RGXOESZ63, 5700898]
[paragraph, [74.0, 58.0, 271.0, 18.0], 1Sc5luMrH9, 5700898]
[paragraph, [74.0, 76.0, 271.0, 18.0], 1Sc5luMrH9, 5700898]
[paragraph, [74.0, 94.0, 271.0, 18.0], 1Sc5luMrH9, 5700898]
[paragraph, [74.0, 112.0, 271.0, 18.0], 1Sc5luMrH9, 5700898]
[sidebar, [8.0, 71.0, 62.0, 18.0], kI_9hJTxhH, 5700898]
[sidebar, [8.0, 89.0, 62.0, 18.0], kI_9hJTxhH, 5700898]
[paragraph, [11.0, 132.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 150.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 168.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 186.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 204.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 222.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 240.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 258.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 276.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 294.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 312.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 330.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 348.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 366.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 384.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 402.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 420.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 438.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 456.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 474.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 492.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 510.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 528.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
[paragraph, [11.0, 546.0, 331.0, 18.0], 0GMxSL1QYO, 5700898]
