[2200, 1700]
[paragraph, [308.0, 103.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 139.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 175.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 211.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 247.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 283.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 319.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 355.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 391.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 427.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 463.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 499.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 535.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 571.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 607.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 643.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 679.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 715.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 751.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 787.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 823.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 859.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 895.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 931.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 967.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1003.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1039.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1075.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1111.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1147.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1183.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1219.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1255.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1291.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1327.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1363.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1399.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1435.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1471.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1507.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1543.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1579.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1615.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1651.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1687.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1723.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1759.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1795.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1831.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1867.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[paragraph, [308.0, 1903.0, 1111.0, 36.0], shoonya_0sHM8SWJVGT4G0, 5731717]
[folio, [959.0, 2057.0, 356.0, 36.0], qWh_mwoA8P, 5731717]
