[851, 1134]
[section-title, [602.0, 25.0, 201.0, 30.0], 12nG6SZlRJ, 5779754]
[section-title, [38.0, 26.0, 117.0, 30.0], FSPvabWoll, 5779754]
[figure-caption, [722.0, 402.0, 126.0, 18.0], shoonya_19sD2OQTHSCV3Y, 5779754]
[figure-caption, [722.0, 420.0, 126.0, 18.0], shoonya_19sD2OQTHSCV3Y, 5779754]
[figure-caption, [722.0, 438.0, 126.0, 18.0], shoonya_19sD2OQTHSCV3Y, 5779754]
[figure-caption, [722.0, 456.0, 126.0, 18.0], shoonya_19sD2OQTHSCV3Y, 5779754]
[figure-caption, [722.0, 474.0, 126.0, 18.0], shoonya_19sD2OQTHSCV3Y, 5779754]
[figure-caption, [596.0, 404.0, 128.0, 18.0], shoonya_18sTMQHZI4Z1B5, 5779754]
[figure-caption, [596.0, 422.0, 128.0, 18.0], shoonya_18sTMQHZI4Z1B5, 5779754]
[figure-caption, [596.0, 440.0, 128.0, 18.0], shoonya_18sTMQHZI4Z1B5, 5779754]
[figure-caption, [162.0, 416.0, 112.0, 18.0], shoonya_24sLAJHQ2ZETTU, 5779754]
[figure-caption, [162.0, 434.0, 112.0, 18.0], shoonya_24sLAJHQ2ZETTU, 5779754]
[figure-caption, [162.0, 452.0, 112.0, 18.0], shoonya_24sLAJHQ2ZETTU, 5779754]
[figure-caption, [38.0, 417.0, 118.0, 18.0], shoonya_27sCW1O1A2YBV7, 5779754]
[figure-caption, [38.0, 435.0, 118.0, 18.0], shoonya_27sCW1O1A2YBV7, 5779754]
[figure-caption, [38.0, 453.0, 118.0, 18.0], shoonya_27sCW1O1A2YBV7, 5779754]
[figure-caption, [849.0, 525.0, 120.0, 18.0], shoonya_17sHPFKZIZNIPJ, 5779754]
[figure-caption, [849.0, 543.0, 120.0, 18.0], shoonya_17sHPFKZIZNIPJ, 5779754]
[figure-caption, [969.0, 525.0, 127.0, 18.0], shoonya_21s870K8WID27H, 5779754]
[figure-caption, [969.0, 543.0, 127.0, 18.0], shoonya_21s870K8WID27H, 5779754]
[figure-caption, [401.0, 536.0, 124.0, 18.0], shoonya_9sMVC4RC8KQ961, 5779754]
[figure-caption, [401.0, 554.0, 124.0, 18.0], shoonya_9sMVC4RC8KQ961, 5779754]
[figure-caption, [401.0, 572.0, 124.0, 18.0], shoonya_9sMVC4RC8KQ961, 5779754]
[figure-caption, [401.0, 590.0, 124.0, 18.0], shoonya_9sMVC4RC8KQ961, 5779754]
[figure-caption, [401.0, 608.0, 124.0, 18.0], shoonya_9sMVC4RC8KQ961, 5779754]
[figure-caption, [277.0, 537.0, 124.0, 18.0], FGRTqblT1M, 5779754]
[figure-caption, [277.0, 555.0, 124.0, 18.0], FGRTqblT1M, 5779754]
[unordered-list, [38.0, 678.0, 196.0, 18.0], shoonya_14s75SC5JEFAHI, 5779754]
[unordered-list, [38.0, 696.0, 196.0, 18.0], shoonya_14s75SC5JEFAHI, 5779754]
[unordered-list, [605.0, 678.0, 241.0, 18.0], shoonya_8sLOKY7ROQR28C, 5779754]
[unordered-list, [605.0, 696.0, 241.0, 18.0], shoonya_8sLOKY7ROQR28C, 5779754]
[unordered-list, [605.0, 714.0, 241.0, 18.0], shoonya_8sLOKY7ROQR28C, 5779754]
[unordered-list, [605.0, 732.0, 241.0, 18.0], shoonya_8sLOKY7ROQR28C, 5779754]
[unordered-list, [605.0, 750.0, 241.0, 18.0], shoonya_8sLOKY7ROQR28C, 5779754]
[unordered-list, [851.0, 678.0, 243.0, 18.0], shoonya_4sBFFO9UVX6TUE, 5779754]
[unordered-list, [851.0, 696.0, 243.0, 18.0], shoonya_4sBFFO9UVX6TUE, 5779754]
[unordered-list, [851.0, 714.0, 243.0, 18.0], shoonya_4sBFFO9UVX6TUE, 5779754]
[unordered-list, [851.0, 732.0, 243.0, 18.0], shoonya_4sBFFO9UVX6TUE, 5779754]
[unordered-list, [285.0, 679.0, 231.0, 18.0], shoonya_6sSGM513LFW848, 5779754]
[unordered-list, [285.0, 697.0, 231.0, 18.0], shoonya_6sSGM513LFW848, 5779754]
[unordered-list, [285.0, 715.0, 231.0, 18.0], shoonya_6sSGM513LFW848, 5779754]
[unordered-list, [285.0, 733.0, 231.0, 18.0], shoonya_6sSGM513LFW848, 5779754]
[footnote, [34.0, 787.0, 238.0, 18.0], shoonya_22sZT5NM45WDZV, 5779754]
[footnote, [34.0, 805.0, 238.0, 18.0], shoonya_22sZT5NM45WDZV, 5779754]
[footnote, [596.0, 787.0, 249.0, 18.0], shoonya_20sJRWD5SLTYDJ, 5779754]
[footnote, [596.0, 805.0, 249.0, 18.0], shoonya_20sJRWD5SLTYDJ, 5779754]
[options, [279.0, 818.0, 199.0, 18.0], TUpbHx1_cr, 5779754]
[options, [853.0, 818.0, 186.0, 18.0], shoonya_29sBG4HANVCIRJ, 5779754]
