[1164, 755]
[headline, [0.0, 0.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 25.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 51.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 76.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 102.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 127.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 153.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 178.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 204.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 229.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 255.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 280.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 306.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 331.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 357.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 382.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 408.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 433.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 459.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 484.5, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
[headline, [0.0, 510.0, 76.0, 25.5], shoonya_1s7UYMDPU7DSFV, 5692423]
