[1034, 680]
[folio, [228.0, 64.0, 215.0, 18.0], shoonya_0sJGTS18XC8YKU, 5740256]
[folio, [228.0, 82.0, 215.0, 18.0], shoonya_0sJGTS18XC8YKU, 5740256]
[paragraph, [66.0, 115.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 133.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 151.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 169.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 187.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 205.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 223.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 241.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 259.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 277.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 295.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 313.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 331.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 349.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 367.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 385.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 403.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 421.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 439.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 457.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 475.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 493.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 511.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 529.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 547.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 565.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[paragraph, [66.0, 583.0, 547.0, 18.0], FmzSkZuot3, 5740256]
[section-title, [64.0, 626.0, 508.0, 30.0], T8_TkdLyQN, 5740256]
[paragraph, [58.0, 681.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 699.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 717.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 735.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 753.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 771.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 789.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 807.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 825.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 843.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 861.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 879.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 897.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 915.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
[paragraph, [58.0, 933.0, 553.0, 18.0], 7RG95j_oY1, 5740256]
