[2339, 1656]
[folio, [603.0, 67.0, 399.0, 36.0], shoonya_4sPGC2IMTGXVKK, 5749984]
[folio, [603.0, 103.0, 399.0, 36.0], shoonya_4sPGC2IMTGXVKK, 5749984]
[chapter-title, [576.0, 232.0, 477.0, 70.5], hH_dak7SKm, 5749984]
[author, [483.0, 431.0, 657.0, 36.0], 5SSbY5ZWr9, 5749984]
[author, [483.0, 467.0, 657.0, 36.0], 5SSbY5ZWr9, 5749984]
[author, [483.0, 503.0, 657.0, 36.0], 5SSbY5ZWr9, 5749984]
[paragraph, [835.0, 585.0, 244.0, 36.0], shoonya_5sMOYMFLO2ZNB5, 5749984]
[paragraph, [842.0, 644.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 680.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 716.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 752.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 788.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 824.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 860.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 896.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 932.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 968.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1004.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1040.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1076.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1112.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1148.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1184.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1220.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1256.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1292.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1328.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1364.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1400.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1436.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1472.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1508.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1544.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1580.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1616.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1652.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1688.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1724.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1760.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1796.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1832.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1868.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1904.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [842.0, 1940.0, 706.0, 36.0], shoonya_1sC4XAY6OI6FPI, 5749984]
[paragraph, [202.0, 655.0, 502.0, 36.0], shoonya_6s8XEY1PS6SR6X, 5749984]
[paragraph, [202.0, 691.0, 502.0, 36.0], shoonya_6s8XEY1PS6SR6X, 5749984]
[paragraph, [104.0, 810.0, 714.0, 36.0], shoonya_0sENZZLL5DRURT, 5749984]
[paragraph, [104.0, 846.0, 714.0, 36.0], shoonya_0sENZZLL5DRURT, 5749984]
[paragraph, [104.0, 882.0, 714.0, 36.0], shoonya_0sENZZLL5DRURT, 5749984]
[paragraph, [104.0, 918.0, 714.0, 36.0], shoonya_0sENZZLL5DRURT, 5749984]
[paragraph, [104.0, 954.0, 714.0, 36.0], shoonya_0sENZZLL5DRURT, 5749984]
