[720, 1728]
[section-title, [23.0, 49.0, 455.0, 30.0], 1ZzuKWiDCh, 5657277]
[section-title, [23.0, 79.0, 455.0, 30.0], 1ZzuKWiDCh, 5657277]
[section-title, [895.0, 58.0, 575.0, 30.0], 7kKqNRthhU, 5657277]
[paragraph, [886.0, 94.0, 828.0, 18.0], 8si2VTlPIQ, 5657277]
[paragraph, [886.0, 112.0, 828.0, 18.0], 8si2VTlPIQ, 5657277]
[paragraph, [886.0, 130.0, 828.0, 18.0], 8si2VTlPIQ, 5657277]
[paragraph, [886.0, 148.0, 828.0, 18.0], 8si2VTlPIQ, 5657277]
[paragraph, [886.0, 166.0, 828.0, 18.0], 8si2VTlPIQ, 5657277]
[figure-caption, [957.0, 355.0, 73.0, 18.0], sPexAiY-iu, 5657277]
[figure-caption, [957.0, 373.0, 73.0, 18.0], sPexAiY-iu, 5657277]
[figure-caption, [1100.0, 355.0, 192.0, 18.0], YOY0K0EctV, 5657277]
[figure-caption, [1100.0, 373.0, 192.0, 18.0], YOY0K0EctV, 5657277]
[figure-caption, [1529.0, 360.0, 161.0, 18.0], shoonya_1sA0WXZ3WKN4OO, 5657277]
[figure-caption, [1352.0, 361.0, 114.0, 18.0], shoonya_9s5VQNDZEX9MVM, 5657277]
[paragraph, [18.0, 545.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 563.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 581.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 599.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 617.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 635.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 653.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [18.0, 671.0, 350.0, 18.0], shoonya_5sXRVRR0XAY8AG, 5657277]
[paragraph, [503.0, 550.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
[paragraph, [503.0, 568.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
[paragraph, [503.0, 586.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
[paragraph, [503.0, 604.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
[paragraph, [503.0, 622.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
[paragraph, [503.0, 640.0, 335.0, 18.0], shoonya_7sHB2ZDJRVX5CS, 5657277]
