[752, 553]
[headline, [36.0, 383.0, 480.0, 25.5], shoonya_0sJS6J4X5HUTK9, 5712951]
[headline, [36.0, 408.5, 480.0, 25.5], shoonya_0sJS6J4X5HUTK9, 5712951]
[headline, [36.0, 434.0, 480.0, 25.5], shoonya_0sJS6J4X5HUTK9, 5712951]
[paragraph, [349.0, 469.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 487.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 505.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 523.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 541.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 559.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 577.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [349.0, 595.0, 156.0, 18.0], rLeY-cXxfv, 5712951]
[paragraph, [196.0, 470.0, 130.0, 18.0], 61Q5qnPm6F, 5712951]
[paragraph, [196.0, 488.0, 130.0, 18.0], 61Q5qnPm6F, 5712951]
[author, [82.0, 477.0, 86.0, 18.0], HZS2ZlYZii, 5712951]
[paragraph, [42.0, 506.0, 152.0, 18.0], shoonya_3s9DCDDD7SJ83E, 5712951]
[paragraph, [42.0, 524.0, 152.0, 18.0], shoonya_3s9DCDDD7SJ83E, 5712951]
[paragraph, [42.0, 542.0, 152.0, 18.0], shoonya_3s9DCDDD7SJ83E, 5712951]
[paragraph, [198.0, 517.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 535.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 553.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 571.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 589.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 607.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 625.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 643.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [198.0, 661.0, 152.0, 18.0], Baat8ZSq-k, 5712951]
[paragraph, [39.0, 567.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [39.0, 585.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [39.0, 603.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [39.0, 621.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [39.0, 639.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [39.0, 657.0, 156.0, 18.0], YAqIrf2cpg, 5712951]
[paragraph, [350.0, 617.0, 150.0, 18.0], shoonya_5s02NTIZO7RR7W, 5712951]
[paragraph, [350.0, 635.0, 150.0, 18.0], shoonya_5s02NTIZO7RR7W, 5712951]
[paragraph, [350.0, 653.0, 150.0, 18.0], shoonya_5s02NTIZO7RR7W, 5712951]
[paragraph, [350.0, 671.0, 150.0, 18.0], shoonya_5s02NTIZO7RR7W, 5712951]
[folio, [426.0, 699.0, 77.0, 18.0], haSKijGo8N, 5712951]
