[792, 612]
[paragraph, [75.0, 24.0, 119.0, 18.0], NXhA2XttNA, 6515499]
[paragraph, [75.0, 42.0, 119.0, 18.0], NXhA2XttNA, 6515499]
[paragraph, [75.0, 60.0, 119.0, 18.0], NXhA2XttNA, 6515499]
[paragraph, [337.0, 71.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 89.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 107.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 125.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 143.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 161.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 179.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 197.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 215.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 233.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 251.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 269.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 287.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 305.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 323.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 341.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 359.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 377.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 395.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 413.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 431.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 449.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 467.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [337.0, 485.0, 163.0, 18.0], shoonya_2s4Z3BHMUIA9YE, 6515499]
[paragraph, [75.0, 91.0, 143.0, 18.0], vcBKdfjm8R, 6515499]
[paragraph, [75.0, 109.0, 143.0, 18.0], vcBKdfjm8R, 6515499]
[paragraph, [75.0, 127.0, 143.0, 18.0], vcBKdfjm8R, 6515499]
[paragraph, [76.0, 196.0, 112.0, 18.0], shoonya_1s1YY3CBB4JFF7, 6515499]
[paragraph, [76.0, 214.0, 112.0, 18.0], shoonya_1s1YY3CBB4JFF7, 6515499]
[paragraph, [76.0, 232.0, 112.0, 18.0], shoonya_1s1YY3CBB4JFF7, 6515499]
[paragraph, [76.0, 266.0, 104.0, 18.0], Ekbx3A_8rK, 6515499]
[paragraph, [76.0, 284.0, 104.0, 18.0], Ekbx3A_8rK, 6515499]
[paragraph, [76.0, 302.0, 104.0, 18.0], Ekbx3A_8rK, 6515499]
[paragraph, [76.0, 333.0, 114.0, 18.0], ZKX9pQ8keq, 6515499]
[paragraph, [76.0, 351.0, 114.0, 18.0], ZKX9pQ8keq, 6515499]
[paragraph, [76.0, 369.0, 114.0, 18.0], ZKX9pQ8keq, 6515499]
[paragraph, [76.0, 401.0, 132.0, 18.0], 3sl66gea3w, 6515499]
[paragraph, [76.0, 419.0, 132.0, 18.0], 3sl66gea3w, 6515499]
[paragraph, [76.0, 437.0, 132.0, 18.0], 3sl66gea3w, 6515499]
[paragraph, [75.0, 468.0, 121.0, 18.0], JofenUe5xi, 6515499]
[paragraph, [75.0, 486.0, 121.0, 18.0], JofenUe5xi, 6515499]
[paragraph, [75.0, 504.0, 121.0, 18.0], JofenUe5xi, 6515499]
[paragraph, [75.0, 534.0, 107.0, 18.0], d10NH-MxEJ, 6515499]
[paragraph, [75.0, 552.0, 107.0, 18.0], d10NH-MxEJ, 6515499]
[paragraph, [75.0, 570.0, 107.0, 18.0], d10NH-MxEJ, 6515499]
[paragraph, [334.0, 563.0, 143.0, 18.0], tX1QzZb0DG, 6515499]
[paragraph, [334.0, 581.0, 143.0, 18.0], tX1QzZb0DG, 6515499]
[paragraph, [334.0, 599.0, 143.0, 18.0], tX1QzZb0DG, 6515499]
[paragraph, [334.0, 617.0, 143.0, 18.0], tX1QzZb0DG, 6515499]
[contact-info, [90.0, 602.0, 136.0, 18.0], FnkeBZnCdq, 6515499]
[folio, [55.0, 611.0, 22.0, 18.0], qVvTvHihqA, 6515499]
