[1298, 853]
[section-title, [313.0, 69.0, 226.0, 30.0], shoonya_2sR7EO446KS8DQ, 5710205]
[paragraph, [31.0, 113.0, 762.0, 18.0], shoonya_1s0PJ1IQET9977, 5710205]
[paragraph, [31.0, 131.0, 762.0, 18.0], shoonya_1s0PJ1IQET9977, 5710205]
[paragraph, [31.0, 149.0, 762.0, 18.0], shoonya_1s0PJ1IQET9977, 5710205]
[paragraph, [31.0, 167.0, 762.0, 18.0], shoonya_1s0PJ1IQET9977, 5710205]
[paragraph, [31.0, 185.0, 762.0, 18.0], shoonya_1s0PJ1IQET9977, 5710205]
[paragraph, [41.0, 205.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [41.0, 223.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [41.0, 241.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [41.0, 259.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [41.0, 277.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [41.0, 295.0, 750.0, 18.0], P53pBgFoHl, 5710205]
[paragraph, [50.0, 319.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 337.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 355.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 373.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 391.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 409.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 427.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 445.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 463.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 481.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 499.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 517.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 535.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 553.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 571.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 589.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
[paragraph, [50.0, 607.0, 754.0, 18.0], 3gr-2aZQO5, 5710205]
