[1350, 900]
[folio, [176.0, 186.0, 211.0, 18.0], shoonya_4sRSE2NZOHVNWM, 5760066]
[paragraph, [156.0, 233.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [156.0, 251.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [156.0, 269.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [156.0, 287.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [156.0, 305.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [156.0, 323.0, 560.0, 18.0], BGfm80rCJ-, 5760066]
[paragraph, [160.0, 362.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 380.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 398.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 416.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 434.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 452.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [160.0, 470.0, 562.0, 18.0], shoonya_5sLXKJ6ON75XPF, 5760066]
[paragraph, [157.0, 491.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 509.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 527.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 545.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 563.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 581.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 599.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 617.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [157.0, 635.0, 565.0, 18.0], shoonya_1s5ZYQ7F4GB0B0, 5760066]
[paragraph, [162.0, 680.0, 560.0, 18.0], shoonya_3sTISHCQ7Z6BFU, 5760066]
[paragraph, [162.0, 698.0, 560.0, 18.0], shoonya_3sTISHCQ7Z6BFU, 5760066]
[paragraph, [162.0, 716.0, 560.0, 18.0], shoonya_3sTISHCQ7Z6BFU, 5760066]
[paragraph, [162.0, 734.0, 560.0, 18.0], shoonya_3sTISHCQ7Z6BFU, 5760066]
[paragraph, [159.0, 783.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 801.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 819.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 837.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 855.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 873.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 891.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 909.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 927.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 945.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 963.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 981.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 999.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1017.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1035.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1053.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1071.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1089.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
[paragraph, [159.0, 1107.0, 568.0, 18.0], shoonya_2s00U6U1FTDENX, 5760066]
