[2339, 1653]
[paragraph, [389.0, 194.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 230.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 266.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 302.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 338.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 374.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 410.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 446.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 482.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 518.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 554.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 590.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 626.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [389.0, 662.0, 1072.0, 36.0], shoonya_1sFF1X7KDD4IHH, 5734352]
[paragraph, [390.0, 729.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 765.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 801.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 837.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 873.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 909.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [390.0, 945.0, 1073.0, 36.0], shoonya_3sT6H2V31W3O7H, 5734352]
[paragraph, [378.0, 1010.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1046.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1082.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1118.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1154.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1190.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1226.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1262.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1298.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1334.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1370.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1406.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1442.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [378.0, 1478.0, 1073.0, 36.0], shoonya_2sL90TVLI1KOFM, 5734352]
[paragraph, [391.0, 1537.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1573.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1609.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1645.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1681.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1717.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1753.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1789.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1825.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1861.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1897.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1933.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 1969.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 2005.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 2041.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[paragraph, [391.0, 2077.0, 1081.0, 36.0], shoonya_0sCX7P5YPSYZLQ, 5734352]
[folio, [1042.0, 2180.0, 340.0, 36.0], t2698iDVFs, 5734352]
