[1004, 621]
[paragraph, [36.0, 105.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 123.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 141.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 159.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 177.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 195.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 213.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 231.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 249.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 267.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 285.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 303.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 321.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 339.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 357.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 375.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 393.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 411.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 429.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 447.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 465.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [36.0, 483.0, 546.0, 18.0], pRHQuDxwm2, 5740862]
[paragraph, [115.0, 524.0, 404.0, 18.0], MtLFuuxWwC, 5740862]
[paragraph, [115.0, 542.0, 404.0, 18.0], MtLFuuxWwC, 5740862]
[paragraph, [115.0, 560.0, 404.0, 18.0], MtLFuuxWwC, 5740862]
[paragraph, [115.0, 578.0, 404.0, 18.0], MtLFuuxWwC, 5740862]
[paragraph, [42.0, 606.0, 535.0, 18.0], 2lBa5b0BJ6, 5740862]
[paragraph, [42.0, 624.0, 535.0, 18.0], 2lBa5b0BJ6, 5740862]
[paragraph, [42.0, 642.0, 535.0, 18.0], 2lBa5b0BJ6, 5740862]
[paragraph, [35.0, 675.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 693.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 711.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 729.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 747.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 765.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 783.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 801.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 819.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 837.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [35.0, 855.0, 541.0, 18.0], 60_j3uMpC1, 5740862]
[paragraph, [36.0, 881.0, 546.0, 18.0], K1WSzpxwkQ, 5740862]
[paragraph, [36.0, 899.0, 546.0, 18.0], K1WSzpxwkQ, 5740862]
[paragraph, [36.0, 917.0, 546.0, 18.0], K1WSzpxwkQ, 5740862]
[paragraph, [36.0, 935.0, 546.0, 18.0], K1WSzpxwkQ, 5740862]
