[2078, 1512]
[paragraph, [747.0, 402.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 438.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 474.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 510.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 546.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 582.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 618.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 654.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 690.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 726.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 762.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [747.0, 798.0, 678.0, 36.0], shoonya_4sH6JL4ZK8WYS3, 5713245]
[paragraph, [80.0, 405.0, 663.0, 36.0], shoonya_5sB5SLSWM9C3XC, 5713245]
[paragraph, [80.0, 441.0, 663.0, 36.0], shoonya_5sB5SLSWM9C3XC, 5713245]
[paragraph, [80.0, 477.0, 663.0, 36.0], shoonya_5sB5SLSWM9C3XC, 5713245]
[paragraph, [80.0, 513.0, 663.0, 36.0], shoonya_5sB5SLSWM9C3XC, 5713245]
[paragraph, [69.0, 578.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 614.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 650.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 686.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 722.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 758.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 794.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 830.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 866.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 902.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 938.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 974.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1010.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1046.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1082.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1118.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1154.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1190.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1226.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [69.0, 1262.0, 678.0, 36.0], shoonya_1sBZA6NK5WTR13, 5713245]
[paragraph, [747.0, 841.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 877.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 913.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 949.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 985.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1021.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1057.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1093.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1129.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1165.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1201.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1237.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [747.0, 1273.0, 671.0, 36.0], shoonya_2sB6A468DBOA0J, 5713245]
[paragraph, [72.0, 1304.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1340.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1376.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1412.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1448.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1484.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1520.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1556.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1592.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1628.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [72.0, 1664.0, 675.0, 36.0], shoonya_0sUMLN68G3D8XR, 5713245]
[paragraph, [750.0, 1338.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1374.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1410.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1446.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1482.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1518.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [750.0, 1554.0, 674.0, 36.0], shoonya_10sT3LTC2QF13Y, 5713245]
[paragraph, [748.0, 1602.0, 671.0, 36.0], shoonya_6sR4VPROEDXW3J, 5713245]
[paragraph, [748.0, 1638.0, 671.0, 36.0], shoonya_6sR4VPROEDXW3J, 5713245]
