[3509, 2480]
[paragraph, [364.0, 397.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 449.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 502.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 554.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 607.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 659.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 712.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 764.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 817.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 869.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 922.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 974.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1027.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1079.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1132.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1184.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1237.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1289.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1342.0, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [364.0, 1394.5, 1762.0, 52.5], shoonya_2sMHQ36KRPUVOU, 5723994]
[paragraph, [362.0, 1515.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1567.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1620.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1672.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1725.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1777.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1830.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1882.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1935.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 1987.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 2040.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 2092.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 2145.0, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [362.0, 2197.5, 1760.0, 52.5], cv99TgEKGd, 5723994]
[paragraph, [372.0, 2340.0, 1748.0, 52.5], 4HNLC-dmi_, 5723994]
[paragraph, [372.0, 2392.5, 1748.0, 52.5], 4HNLC-dmi_, 5723994]
[paragraph, [372.0, 2445.0, 1748.0, 52.5], 4HNLC-dmi_, 5723994]
[footnote, [369.0, 2597.0, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2649.5, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2702.0, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2754.5, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2807.0, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2859.5, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2912.0, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 2964.5, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 3017.0, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
[footnote, [369.0, 3069.5, 1767.0, 52.5], shoonya_1sY2FGDPHEHU1N, 5723994]
