[792, 532]
[folio, [422.0, 11.0, 91.0, 18.0], 5fMQcNqRPf, 6461801]
[folio, [422.0, 29.0, 91.0, 18.0], 5fMQcNqRPf, 6461801]
[paragraph, [47.0, 39.0, 472.0, 18.0], cfrKcvpDap, 6461801]
[paragraph, [47.0, 57.0, 472.0, 18.0], cfrKcvpDap, 6461801]
[paragraph, [47.0, 75.0, 472.0, 18.0], cfrKcvpDap, 6461801]
[paragraph, [47.0, 93.0, 472.0, 18.0], cfrKcvpDap, 6461801]
[paragraph, [111.0, 87.0, 310.0, 18.0], D2Z4QfNXSv, 6461801]
[paragraph, [111.0, 105.0, 310.0, 18.0], D2Z4QfNXSv, 6461801]
[paragraph, [111.0, 123.0, 310.0, 18.0], D2Z4QfNXSv, 6461801]
[sidebar, [392.0, 140.0, 122.0, 18.0], zTmbRQ5FjB, 6461801]
[sidebar, [392.0, 158.0, 122.0, 18.0], zTmbRQ5FjB, 6461801]
[paragraph, [79.0, 174.0, 45.0, 18.0], 6hAwsMI3kx, 6461801]
[paragraph, [40.0, 196.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[paragraph, [40.0, 214.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[paragraph, [40.0, 232.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[paragraph, [40.0, 250.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[paragraph, [40.0, 268.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[paragraph, [40.0, 286.0, 473.0, 18.0], AikpLIy5vb, 6461801]
[section-title, [43.0, 317.0, 123.0, 30.0], MYZrIxOuqB, 6461801]
[paragraph, [33.0, 347.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 365.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 383.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 401.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 419.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 437.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 455.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 473.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 491.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 509.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 527.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [33.0, 545.0, 481.0, 18.0], trNnfbklAY, 6461801]
[paragraph, [35.0, 568.0, 478.0, 18.0], D6qI6MbQKi, 6461801]
[paragraph, [35.0, 586.0, 478.0, 18.0], D6qI6MbQKi, 6461801]
[paragraph, [35.0, 604.0, 478.0, 18.0], D6qI6MbQKi, 6461801]
[paragraph, [31.0, 630.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 648.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 666.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 684.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 702.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 720.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 738.0, 486.0, 18.0], qy_psPxRXN, 6461801]
[paragraph, [31.0, 756.0, 486.0, 18.0], qy_psPxRXN, 6461801]
