[1063, 680]
[paragraph, [45.0, 131.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 149.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 167.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 185.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 203.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 221.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 239.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 257.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 275.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 293.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 311.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 329.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 347.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 365.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 383.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 401.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 419.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 437.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 455.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 473.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 491.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 509.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 527.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 545.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 563.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 581.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 599.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 617.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 635.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 653.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 671.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 689.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 707.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 725.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 743.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 761.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 779.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 797.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 815.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 833.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [45.0, 851.0, 579.0, 18.0], UsObvZ5f4E, 5739859]
[paragraph, [52.0, 902.0, 584.0, 18.0], G7TIcxftrM, 5739859]
[paragraph, [52.0, 920.0, 584.0, 18.0], G7TIcxftrM, 5739859]
[paragraph, [52.0, 938.0, 584.0, 18.0], G7TIcxftrM, 5739859]
[paragraph, [52.0, 956.0, 584.0, 18.0], G7TIcxftrM, 5739859]
[footnote, [447.0, 1013.0, 210.0, 18.0], 1uHD6xnkD1, 5739859]
