[3509, 2482]
[folio, [895.0, 228.0, 429.0, 52.5], shoonya_1sZX00UERB2B1I, 5692175]
[paragraph, [213.0, 347.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 399.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 452.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 504.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 557.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 609.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 662.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 714.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 767.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 819.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 872.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 924.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 977.0, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [213.0, 1029.5, 1756.0, 52.5], shoonya_0sIMK0CYALUDAC, 5692175]
[paragraph, [203.0, 1123.0, 619.0, 52.5], HTtECa8n9W, 5692175]
[paragraph, [215.0, 1214.0, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1266.5, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1319.0, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1371.5, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1424.0, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1476.5, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1529.0, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [215.0, 1581.5, 1749.0, 52.5], shoonya_2sS6GOHAJCB4EL, 5692175]
[paragraph, [297.0, 1687.0, 494.0, 52.5], jlpnRFw1ea, 5692175]
[paragraph, [215.0, 1765.0, 1784.0, 52.5], U5PFUQ0UcY, 5692175]
[paragraph, [215.0, 1817.5, 1784.0, 52.5], U5PFUQ0UcY, 5692175]
[paragraph, [215.0, 1870.0, 1784.0, 52.5], U5PFUQ0UcY, 5692175]
[paragraph, [215.0, 1922.5, 1784.0, 52.5], U5PFUQ0UcY, 5692175]
[paragraph, [215.0, 1975.0, 1784.0, 52.5], U5PFUQ0UcY, 5692175]
[paragraph, [266.0, 2081.0, 1652.0, 52.5], SvflqffPwE, 5692175]
[paragraph, [272.0, 2150.0, 1386.0, 52.5], 75gs5GnAqX, 5692175]
[paragraph, [215.0, 2219.0, 1771.0, 52.5], 21AhCGEsCs, 5692175]
[paragraph, [215.0, 2271.5, 1771.0, 52.5], 21AhCGEsCs, 5692175]
[paragraph, [215.0, 2324.0, 1771.0, 52.5], 21AhCGEsCs, 5692175]
[paragraph, [291.0, 2391.0, 964.0, 52.5], KfsiHs4Dh5, 5692175]
[paragraph, [306.0, 2476.0, 435.0, 52.5], I8IBemSiNL, 5692175]
[paragraph, [259.0, 2548.0, 503.0, 52.5], _rGvaegYXG, 5692175]
[paragraph, [209.0, 2629.0, 1796.0, 52.5], jf-TRAstOI, 5692175]
[paragraph, [209.0, 2681.5, 1796.0, 52.5], jf-TRAstOI, 5692175]
[paragraph, [287.0, 2776.0, 1355.0, 52.5], zrwInVdUZ1, 5692175]
[paragraph, [247.0, 2851.0, 557.0, 52.5], 4i8-_ApWxz, 5692175]
[paragraph, [266.0, 2920.0, 1020.0, 52.5], IxXFGQ-ZUd, 5692175]
[paragraph, [309.0, 3008.0, 375.0, 52.5], 4zSiRLSbkv, 5692175]
[paragraph, [272.0, 3083.0, 1170.0, 52.5], EnSudUDjKw, 5692175]
[paragraph, [228.0, 3164.0, 1771.0, 52.5], Jz7L2KY28c, 5692175]
[paragraph, [228.0, 3216.5, 1771.0, 52.5], Jz7L2KY28c, 5692175]
[paragraph, [228.0, 3269.0, 1771.0, 52.5], Jz7L2KY28c, 5692175]
