[1625, 1211]
[paragraph, [787.0, 100.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 136.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 172.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 208.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 244.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 280.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 316.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 352.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 388.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 424.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 460.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 496.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 532.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 568.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 604.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 640.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 676.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[paragraph, [787.0, 712.0, 361.0, 36.0], shoonya_7sBY3E27C5H6KU, 5742056]
[sub-section-title, [92.0, 149.0, 658.0, 36.0], DDzimsxq60, 5742056]
[sub-section-title, [92.0, 185.0, 658.0, 36.0], DDzimsxq60, 5742056]
[author, [98.0, 291.0, 251.0, 36.0], zXZUQoDLDj, 5742056]
[paragraph, [423.0, 300.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 336.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 372.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 408.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 444.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 480.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 516.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 552.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 588.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 624.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 660.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 696.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 732.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 768.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 804.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 840.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 876.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 912.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 948.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 984.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 1020.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 1056.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [423.0, 1092.0, 346.0, 36.0], shoonya_0sU4URV7I59B4F, 5742056]
[paragraph, [69.0, 336.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 372.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 408.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 444.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 480.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 516.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 552.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
[paragraph, [69.0, 588.0, 339.0, 36.0], shoonya_2sWHP78Q4OAMIB, 5742056]
