[5478, 3644]
[folio, [2193.0, 433.0, 884.0, 52.5], JuiZzE65Xg, 5710001]
[folio, [2193.0, 485.5, 884.0, 52.5], JuiZzE65Xg, 5710001]
[folio, [2193.0, 538.0, 884.0, 52.5], JuiZzE65Xg, 5710001]
[quote, [479.0, 645.0, 2397.0, 52.5], shoonya_1sO9V1VD8VKS44, 5710001]
[quote, [479.0, 697.5, 2397.0, 52.5], shoonya_1sO9V1VD8VKS44, 5710001]
[paragraph, [460.0, 775.0, 2608.0, 52.5], WdNz07C-vq, 5710001]
[paragraph, [460.0, 827.5, 2608.0, 52.5], WdNz07C-vq, 5710001]
[paragraph, [460.0, 880.0, 2608.0, 52.5], WdNz07C-vq, 5710001]
[paragraph, [460.0, 932.5, 2608.0, 52.5], WdNz07C-vq, 5710001]
[paragraph, [460.0, 985.0, 2608.0, 52.5], WdNz07C-vq, 5710001]
[quote, [665.0, 1035.0, 930.0, 52.5], sLfUUV8dK2, 5710001]
[quote, [665.0, 1087.5, 930.0, 52.5], sLfUUV8dK2, 5710001]
[paragraph, [674.0, 1167.0, 1222.0, 52.5], np8y56SR4a, 5710001]
[paragraph, [674.0, 1219.5, 1222.0, 52.5], np8y56SR4a, 5710001]
[paragraph, [460.0, 1295.0, 2563.0, 52.5], R2VFqq2ZGU, 5710001]
[paragraph, [460.0, 1347.5, 2563.0, 52.5], R2VFqq2ZGU, 5710001]
[paragraph, [460.0, 1400.0, 2563.0, 52.5], R2VFqq2ZGU, 5710001]
[paragraph, [460.0, 1452.5, 2563.0, 52.5], R2VFqq2ZGU, 5710001]
[paragraph, [460.0, 1505.0, 2563.0, 52.5], R2VFqq2ZGU, 5710001]
[paragraph, [460.0, 1537.0, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1589.5, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1642.0, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1694.5, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1747.0, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1799.5, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[paragraph, [460.0, 1852.0, 2608.0, 52.5], jBcEn-SIEf, 5710001]
[quote, [684.0, 1929.0, 1318.0, 52.5], pLAPDIPEtn, 5710001]
[quote, [684.0, 1981.5, 1318.0, 52.5], pLAPDIPEtn, 5710001]
[quote, [684.0, 2034.0, 1318.0, 52.5], pLAPDIPEtn, 5710001]
[quote, [684.0, 2086.5, 1318.0, 52.5], pLAPDIPEtn, 5710001]
[paragraph, [501.0, 2193.0, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2245.5, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2298.0, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2350.5, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2403.0, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2455.5, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [501.0, 2508.0, 2553.0, 52.5], OSJazMwPvg, 5710001]
[paragraph, [513.0, 2594.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2646.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2699.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2751.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2804.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2856.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2909.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 2961.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3014.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3066.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3119.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3171.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3224.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3276.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3329.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3381.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3434.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3486.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3539.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3591.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3644.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3696.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3749.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3801.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3854.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3906.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 3959.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 4011.5, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [513.0, 4064.0, 2547.0, 52.5], shoonya_0sWSJCER3P6CRQ, 5710001]
[paragraph, [487.0, 4132.0, 2576.0, 52.5], VE9kpPc5Ic, 5710001]
[paragraph, [487.0, 4184.5, 2576.0, 52.5], VE9kpPc5Ic, 5710001]
[paragraph, [487.0, 4237.0, 2576.0, 52.5], VE9kpPc5Ic, 5710001]
[paragraph, [487.0, 4289.5, 2576.0, 52.5], VE9kpPc5Ic, 5710001]
[paragraph, [497.0, 4392.0, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4444.5, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4497.0, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4549.5, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4602.0, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4654.5, 2572.0, 52.5], nYcn4neUtH, 5710001]
[paragraph, [497.0, 4707.0, 2572.0, 52.5], nYcn4neUtH, 5710001]
