[1823, 1375]
[folio, [425.0, 104.0, 522.0, 36.0], shoonya_5sIEBJ6SCEVG66, 5683437]
[paragraph, [105.0, 173.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 209.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 245.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 281.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 317.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 353.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 389.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [105.0, 425.0, 569.0, 36.0], shoonya_4s92FCGHO7P21W, 5683437]
[paragraph, [689.0, 176.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 212.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 248.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 284.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 320.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 356.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 392.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 428.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 464.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 500.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 536.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 572.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 608.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 644.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 680.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 716.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 752.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 788.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
[paragraph, [689.0, 824.0, 582.0, 36.0], shoonya_3sIK9ZEVT23XIP, 5683437]
