[1650, 1275]
[paragraph, [141.0, 152.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 188.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 224.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 260.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 296.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 332.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 368.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 404.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 440.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 476.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 512.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 548.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 584.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 620.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 656.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 692.0, 989.0, 36.0], shoonya_0sRRURQWKU7TGL, 5703385]
[paragraph, [141.0, 778.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 814.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 850.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 886.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 922.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 958.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 994.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1030.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1066.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1102.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1138.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1174.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1210.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1246.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1282.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1318.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1354.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1390.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
[paragraph, [141.0, 1426.0, 996.0, 36.0], shoonya_2sN45HOBH2HQQO, 5703385]
