[842, 596]
[folio, [65.0, 34.0, 121.0, 18.0], VIljBHhlyx, 5749155]
[paragraph, [64.0, 72.0, 467.0, 18.0], shoonya_0s0B5J0GXJYDPE, 5749155]
[paragraph, [64.0, 90.0, 467.0, 18.0], shoonya_0s0B5J0GXJYDPE, 5749155]
[paragraph, [64.0, 108.0, 467.0, 18.0], shoonya_0s0B5J0GXJYDPE, 5749155]
[paragraph, [64.0, 126.0, 467.0, 18.0], shoonya_0s0B5J0GXJYDPE, 5749155]
[ordered-list, [63.0, 185.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 203.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 221.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 239.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 257.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 275.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 293.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 311.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 329.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 347.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 365.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 383.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 401.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 419.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 437.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 455.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 473.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 491.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 509.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 527.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 545.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 563.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 581.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 599.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 617.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 635.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 653.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 671.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 689.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 707.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
[ordered-list, [63.0, 725.0, 468.0, 18.0], shoonya_1sWTMEJYWF3NYU, 5749155]
