[2363, 1655]
[folio, [973.0, 106.0, 493.0, 36.0], shoonya_2sT0ZNVXV3TKWC, 5721059]
[paragraph, [189.0, 200.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 236.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 272.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 308.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 344.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 380.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 416.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 452.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 488.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 524.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 560.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [189.0, 596.0, 1280.0, 36.0], shoonya_1s8C5XHTKBQ5JY, 5721059]
[paragraph, [190.0, 674.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 710.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 746.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 782.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 818.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 854.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 890.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 926.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 962.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 998.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1034.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1070.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1106.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1142.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1178.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1214.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1250.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1286.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1322.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1358.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1394.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1430.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1466.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1502.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1538.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1574.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1610.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1646.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1682.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [190.0, 1718.0, 1274.0, 36.0], NQTTroM35O, 5721059]
[paragraph, [192.0, 1793.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 1829.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 1865.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 1901.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 1937.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 1973.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 2009.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 2045.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 2081.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 2117.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
[paragraph, [192.0, 2153.0, 1270.0, 36.0], KXAEIQanWG, 5721059]
