[2000, 1414]
[headline, [127.0, 645.0, 882.0, 67.5], shoonya_3sHX2MS8JHQI64, 6514894]
[headline, [127.0, 712.5, 882.0, 67.5], shoonya_3sHX2MS8JHQI64, 6514894]
[paragraph, [125.0, 1001.0, 547.0, 36.0], shoonya_4sB0XQLTX1S6M2, 6514894]
[paragraph, [125.0, 1037.0, 547.0, 36.0], shoonya_4sB0XQLTX1S6M2, 6514894]
[paragraph, [125.0, 1073.0, 547.0, 36.0], shoonya_4sB0XQLTX1S6M2, 6514894]
[paragraph, [125.0, 1109.0, 547.0, 36.0], shoonya_4sB0XQLTX1S6M2, 6514894]
[paragraph, [125.0, 1145.0, 547.0, 36.0], shoonya_4sB0XQLTX1S6M2, 6514894]
[paragraph, [777.0, 1003.0, 543.0, 36.0], shoonya_11sAEDA4H27CMJ, 6514894]
[paragraph, [777.0, 1039.0, 543.0, 36.0], shoonya_11sAEDA4H27CMJ, 6514894]
[paragraph, [777.0, 1075.0, 543.0, 36.0], shoonya_11sAEDA4H27CMJ, 6514894]
[paragraph, [777.0, 1111.0, 543.0, 36.0], shoonya_11sAEDA4H27CMJ, 6514894]
[paragraph, [777.0, 1147.0, 543.0, 36.0], shoonya_11sAEDA4H27CMJ, 6514894]
[paragraph, [951.0, 1448.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[paragraph, [951.0, 1484.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[paragraph, [951.0, 1520.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[paragraph, [951.0, 1556.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[paragraph, [951.0, 1592.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[paragraph, [951.0, 1628.0, 370.0, 36.0], shoonya_0sBC61O1WQWOHW, 6514894]
[folio, [705.0, 1849.0, 77.0, 36.0], 1JKVcBNX2S, 6514894]
