[1050, 693]
[folio, [320.0, 358.0, 50.0, 18.0], n_-hetECKo, 5702334]
[paragraph, [80.0, 390.0, 531.0, 18.0], shoonya_0sSPNML66OQKXZ, 5702334]
[paragraph, [80.0, 408.0, 531.0, 18.0], shoonya_0sSPNML66OQKXZ, 5702334]
[paragraph, [80.0, 426.0, 531.0, 18.0], shoonya_0sSPNML66OQKXZ, 5702334]
[paragraph, [80.0, 444.0, 531.0, 18.0], shoonya_0sSPNML66OQKXZ, 5702334]
[paragraph, [80.0, 462.0, 531.0, 18.0], shoonya_0sSPNML66OQKXZ, 5702334]
[paragraph, [68.0, 494.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 512.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 530.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 548.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 566.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 584.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 602.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 620.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 638.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 656.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 674.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 692.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 710.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 728.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 746.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 764.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 782.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 800.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 818.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 836.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 854.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 872.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 890.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 908.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 926.0, 547.0, 18.0], I03zIGm-xR, 5702334]
[paragraph, [68.0, 944.0, 547.0, 18.0], I03zIGm-xR, 5702334]
