[3968, 2806]
[paragraph, [183.0, 170.0, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 222.5, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 275.0, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 327.5, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 380.0, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 432.5, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [183.0, 485.0, 1217.0, 52.5], shoonya_7sUOO8XVH4WPU7, 5684348]
[paragraph, [168.0, 607.0, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 659.5, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 712.0, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 764.5, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 817.0, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 869.5, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 922.0, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 974.5, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [168.0, 1027.0, 1247.0, 52.5], shoonya_5sMPYSJ8K15WNH, 5684348]
[paragraph, [176.0, 1127.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1179.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1232.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1284.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1337.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1389.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1442.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1494.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1547.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1599.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1652.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1704.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1757.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1809.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1862.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1914.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 1967.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2019.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2072.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2124.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2177.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2229.5, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
[paragraph, [176.0, 2282.0, 1252.0, 52.5], shoonya_2s1PLBBK4PO7YB, 5684348]
