[1755, 1241]
[folio, [139.0, 176.0, 441.0, 36.0], MMGWCGVyot, 5704998]
[website-link, [265.0, 337.0, 152.0, 18.0], shoonya_6sPHH1L6NWYCWL, 5704998]
[paragraph, [216.0, 350.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 386.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 422.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 458.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 494.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 530.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 566.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 602.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 638.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 674.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 710.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 746.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 782.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 818.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 854.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 890.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 926.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 962.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 998.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1034.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1070.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1106.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1142.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1178.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [216.0, 1214.0, 395.0, 36.0], shoonya_1s8T0LP7EAT4CP, 5704998]
[paragraph, [630.0, 356.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 392.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 428.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 464.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 500.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 536.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 572.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 608.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 644.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 680.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 716.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 752.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 788.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 824.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
[paragraph, [630.0, 860.0, 393.0, 36.0], shoonya_0sB92YY06VJV5V, 5704998]
