[1951, 1219]
[folio, [735.0, 126.0, 196.0, 36.0], shoonya_0sCPU0ZN28PETI, 5681954]
[paragraph, [144.0, 211.0, 871.0, 36.0], m7Z3KEQjMn, 5681954]
[paragraph, [146.0, 278.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [146.0, 314.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [146.0, 350.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [146.0, 386.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [146.0, 422.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [146.0, 458.0, 874.0, 36.0], 1fzfkKd9Ju, 5681954]
[paragraph, [150.0, 509.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 545.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 581.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 617.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 653.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 689.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 725.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 761.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 797.0, 873.0, 36.0], SoCNrDRM95, 5681954]
[paragraph, [150.0, 855.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 891.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 927.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 963.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 999.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1035.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1071.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1107.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1143.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1179.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1215.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1251.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1287.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1323.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1359.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1395.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1431.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1467.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1503.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1539.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1575.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1611.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1647.0, 873.0, 36.0], cqKW_e3bKo, 5681954]
[paragraph, [150.0, 1725.0, 876.0, 36.0], N0FWMFjRbj, 5681954]
[paragraph, [150.0, 1761.0, 876.0, 36.0], N0FWMFjRbj, 5681954]
[paragraph, [150.0, 1797.0, 876.0, 36.0], N0FWMFjRbj, 5681954]
