[1755, 1241]
[folio, [184.0, 223.0, 268.0, 36.0], shoonya_3sU4SIBSJ0FLRI, 5760197]
[section-title, [364.0, 352.0, 497.0, 49.5], shoonya_1s69BTYPNGRXIX, 5760197]
[section-title, [364.0, 401.5, 497.0, 49.5], shoonya_1s69BTYPNGRXIX, 5760197]
[paragraph, [179.0, 547.0, 857.0, 36.0], shoonya_0s4SK7DHPWMWIM, 5760197]
[paragraph, [181.0, 624.0, 858.0, 36.0], shoonya_4sPCAJGLM0ZEGB, 5760197]
[paragraph, [181.0, 660.0, 858.0, 36.0], shoonya_4sPCAJGLM0ZEGB, 5760197]
[paragraph, [175.0, 738.0, 865.0, 36.0], ygX4FWTjZE, 5760197]
[paragraph, [175.0, 774.0, 865.0, 36.0], ygX4FWTjZE, 5760197]
[paragraph, [175.0, 810.0, 865.0, 36.0], ygX4FWTjZE, 5760197]
[paragraph, [178.0, 900.0, 640.0, 36.0], LOn5zkLwXS, 5760197]
[paragraph, [179.0, 974.0, 741.0, 36.0], PDDgam9mlY, 5760197]
[paragraph, [179.0, 1045.0, 856.0, 36.0], zD3Ve6g4eJ, 5760197]
[paragraph, [179.0, 1081.0, 856.0, 36.0], zD3Ve6g4eJ, 5760197]
[paragraph, [178.0, 1163.0, 862.0, 36.0], qdbPGcTUK9, 5760197]
[paragraph, [178.0, 1199.0, 862.0, 36.0], qdbPGcTUK9, 5760197]
[paragraph, [176.0, 1277.0, 865.0, 36.0], wudGkaWGyn, 5760197]
[paragraph, [176.0, 1313.0, 865.0, 36.0], wudGkaWGyn, 5760197]
[paragraph, [179.0, 1396.0, 589.0, 36.0], w1RlZKM8As, 5760197]
[paragraph, [176.0, 1472.0, 536.0, 36.0], Bp1ZRskwxo, 5760197]
[paragraph, [178.0, 1542.0, 860.0, 36.0], SBSiKzAW0u, 5760197]
[paragraph, [178.0, 1578.0, 860.0, 36.0], SBSiKzAW0u, 5760197]
