[1350, 900]
[paragraph, [170.0, 245.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 263.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 281.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 299.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 317.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 335.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 353.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 371.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 389.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 407.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 425.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 443.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 461.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 479.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 497.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 515.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 533.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 551.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 569.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 587.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 605.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 623.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 641.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 659.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 677.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 695.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 713.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 731.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 749.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 767.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 785.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 803.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 821.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 839.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 857.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 875.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [170.0, 893.0, 562.0, 18.0], shoonya_1sIGCYZEN5542D, 5760597]
[paragraph, [168.0, 946.0, 559.0, 18.0], T2B4eyWgJF, 5760597]
[paragraph, [168.0, 964.0, 559.0, 18.0], T2B4eyWgJF, 5760597]
[paragraph, [168.0, 982.0, 559.0, 18.0], T2B4eyWgJF, 5760597]
[paragraph, [168.0, 1014.0, 562.0, 18.0], G-jxBXW__L, 5760597]
[paragraph, [168.0, 1032.0, 562.0, 18.0], G-jxBXW__L, 5760597]
[paragraph, [168.0, 1050.0, 562.0, 18.0], G-jxBXW__L, 5760597]
[paragraph, [168.0, 1068.0, 562.0, 18.0], G-jxBXW__L, 5760597]
[paragraph, [168.0, 1086.0, 562.0, 18.0], G-jxBXW__L, 5760597]
[paragraph, [168.0, 1104.0, 562.0, 18.0], G-jxBXW__L, 5760597]
