[1625, 1211]
[ordered-list, [98.0, 119.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 155.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 191.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 227.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 263.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 299.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 335.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 371.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 407.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 443.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 479.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[ordered-list, [98.0, 515.0, 1014.0, 36.0], 5XKigEp5K0, 5742531]
[paragraph, [169.0, 578.0, 934.0, 36.0], PUMwab2Yfi, 5742531]
[paragraph, [169.0, 614.0, 934.0, 36.0], PUMwab2Yfi, 5742531]
[paragraph, [780.0, 719.0, 350.0, 36.0], 3hx-S03AsL, 5742531]
[paragraph, [780.0, 755.0, 350.0, 36.0], 3hx-S03AsL, 5742531]
[paragraph, [420.0, 725.0, 349.0, 36.0], 96uPmFtGDe, 5742531]
[paragraph, [420.0, 761.0, 349.0, 36.0], 96uPmFtGDe, 5742531]
[paragraph, [420.0, 797.0, 349.0, 36.0], 96uPmFtGDe, 5742531]
[paragraph, [420.0, 833.0, 349.0, 36.0], 96uPmFtGDe, 5742531]
[paragraph, [69.0, 790.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 826.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 862.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 898.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 934.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 970.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1006.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1042.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1078.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1114.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1150.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1186.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [69.0, 1222.0, 338.0, 36.0], shoonya_3sZWW11FRN1ROK, 5742531]
[paragraph, [784.0, 816.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [784.0, 852.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [784.0, 888.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [784.0, 924.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [784.0, 960.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [784.0, 996.0, 347.0, 36.0], Hqf1uHxpat, 5742531]
[paragraph, [420.0, 891.0, 344.0, 36.0], nqaix2IRtr, 5742531]
[paragraph, [420.0, 927.0, 344.0, 36.0], nqaix2IRtr, 5742531]
[paragraph, [420.0, 963.0, 344.0, 36.0], nqaix2IRtr, 5742531]
[paragraph, [420.0, 999.0, 344.0, 36.0], nqaix2IRtr, 5742531]
[paragraph, [420.0, 1035.0, 344.0, 36.0], nqaix2IRtr, 5742531]
[sub-headline, [831.0, 1044.0, 271.0, 36.0], kJgX7NBmDU, 5742531]
[paragraph, [822.0, 1090.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1126.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1162.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1198.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1234.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1270.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1306.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1342.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1378.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1414.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [822.0, 1450.0, 323.0, 36.0], adNXtP_vcE, 5742531]
[paragraph, [418.0, 1107.0, 355.0, 36.0], _ao0TpydF1, 5742531]
[paragraph, [418.0, 1143.0, 355.0, 36.0], _ao0TpydF1, 5742531]
[paragraph, [418.0, 1179.0, 355.0, 36.0], _ao0TpydF1, 5742531]
[paragraph, [426.0, 1247.0, 346.0, 36.0], xcgiZHf1Qy, 5742531]
[paragraph, [426.0, 1283.0, 346.0, 36.0], xcgiZHf1Qy, 5742531]
[paragraph, [426.0, 1319.0, 346.0, 36.0], xcgiZHf1Qy, 5742531]
[paragraph, [426.0, 1355.0, 346.0, 36.0], xcgiZHf1Qy, 5742531]
[paragraph, [426.0, 1391.0, 346.0, 36.0], xcgiZHf1Qy, 5742531]
[paragraph, [75.0, 1299.0, 341.0, 36.0], shoonya_0sUY5S2MFDI1LW, 5742531]
[paragraph, [75.0, 1335.0, 341.0, 36.0], shoonya_0sUY5S2MFDI1LW, 5742531]
