[1601, 1158]
[paragraph, [96.0, 77.0, 603.0, 36.0], NavJjYPGuB, 5695813]
[paragraph, [96.0, 113.0, 603.0, 36.0], NavJjYPGuB, 5695813]
[paragraph, [96.0, 149.0, 603.0, 36.0], NavJjYPGuB, 5695813]
[paragraph, [96.0, 185.0, 603.0, 36.0], NavJjYPGuB, 5695813]
[paragraph, [97.0, 219.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 255.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 291.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 327.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 363.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 399.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 435.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 471.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 507.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 543.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 579.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 615.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [97.0, 651.0, 600.0, 36.0], UeX-rHGJSB, 5695813]
[paragraph, [100.0, 709.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 745.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 781.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 817.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 853.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 889.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 925.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 961.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 997.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1033.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1069.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1105.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1141.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1177.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1213.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1249.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1285.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1321.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[paragraph, [100.0, 1357.0, 601.0, 36.0], shoonya_0sKWYJ67J8JCQR, 5695813]
[sidebar, [713.0, 798.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 834.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 870.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 906.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 942.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 978.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 1014.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 1050.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [713.0, 1086.0, 316.0, 36.0], shoonya_1s8B00FEYOZJOW, 5695813]
[sidebar, [708.0, 1133.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1169.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1205.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1241.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1277.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1313.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1349.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1385.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[sidebar, [708.0, 1421.0, 325.0, 36.0], w6whgUHiCh, 5695813]
[paragraph, [101.0, 1398.0, 599.0, 36.0], shoonya_2s02RUNNMROF85, 5695813]
[paragraph, [101.0, 1434.0, 599.0, 36.0], shoonya_2s02RUNNMROF85, 5695813]
[folio, [497.0, 1481.0, 97.0, 36.0], OST0FIOj_2, 5695813]
