[1755, 1240]
[paragraph, [231.0, 219.0, 778.0, 36.0], shoonya_0sPTETOMNDKL7J, 5743847]
[paragraph, [231.0, 255.0, 778.0, 36.0], shoonya_0sPTETOMNDKL7J, 5743847]
[paragraph, [231.0, 291.0, 778.0, 36.0], shoonya_0sPTETOMNDKL7J, 5743847]
[paragraph, [231.0, 327.0, 778.0, 36.0], shoonya_0sPTETOMNDKL7J, 5743847]
[paragraph, [220.0, 387.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 423.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 459.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 495.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 531.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 567.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 603.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 639.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 675.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 711.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 747.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 783.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 819.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 855.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 891.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 927.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 963.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 999.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1035.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1071.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1107.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1143.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1179.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1215.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1251.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1287.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1323.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1359.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1395.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
[paragraph, [220.0, 1431.0, 790.0, 36.0], UsJeiG1_Yz, 5743847]
