[2428, 1814]
[answer, [129.0, 479.0, 455.0, 36.0], Wou9WVbSiU, 5693768]
[answer, [129.0, 515.0, 455.0, 36.0], Wou9WVbSiU, 5693768]
[answer, [129.0, 551.0, 455.0, 36.0], Wou9WVbSiU, 5693768]
[answer, [129.0, 587.0, 455.0, 36.0], Wou9WVbSiU, 5693768]
[answer, [129.0, 623.0, 455.0, 36.0], Wou9WVbSiU, 5693768]
[answer, [126.0, 1052.0, 375.0, 36.0], _Wg3JaNNL_, 5693768]
[answer, [126.0, 1088.0, 375.0, 36.0], _Wg3JaNNL_, 5693768]
[answer, [126.0, 1124.0, 375.0, 36.0], _Wg3JaNNL_, 5693768]
[answer, [126.0, 1160.0, 375.0, 36.0], _Wg3JaNNL_, 5693768]
[answer, [126.0, 1196.0, 375.0, 36.0], _Wg3JaNNL_, 5693768]
[paragraph, [126.0, 1328.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [126.0, 1364.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [126.0, 1400.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [126.0, 1436.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [126.0, 1472.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [126.0, 1508.0, 459.0, 36.0], SCk17jfcXq, 5693768]
[paragraph, [131.0, 1604.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[paragraph, [131.0, 1640.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[paragraph, [131.0, 1676.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[paragraph, [131.0, 1712.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[paragraph, [131.0, 1748.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[paragraph, [131.0, 1784.0, 446.0, 36.0], syZ8Rcohu3, 5693768]
[figure-caption, [1116.0, 1751.0, 83.0, 36.0], 8afejEttQR, 5693768]
[figure-caption, [1116.0, 1787.0, 83.0, 36.0], 8afejEttQR, 5693768]
[figure-caption, [1116.0, 1823.0, 83.0, 36.0], 8afejEttQR, 5693768]
[figure-caption, [729.0, 1864.0, 142.0, 36.0], YUwR5zXwnf, 5693768]
[figure-caption, [729.0, 1900.0, 142.0, 36.0], YUwR5zXwnf, 5693768]
[figure-caption, [729.0, 1936.0, 142.0, 36.0], YUwR5zXwnf, 5693768]
[figure-caption, [729.0, 1972.0, 142.0, 36.0], YUwR5zXwnf, 5693768]
[author, [1397.0, 1977.0, 194.0, 36.0], l2txZn3zEM, 5693768]
[author, [1397.0, 2013.0, 194.0, 36.0], l2txZn3zEM, 5693768]
[author, [1397.0, 2049.0, 194.0, 36.0], l2txZn3zEM, 5693768]
[author, [131.0, 2203.0, 210.0, 36.0], i9plRYPmA0, 5693768]
