[1250, 2000]
[website-link, [1742.0, 12.0, 229.0, 18.0], 2-Xn5KtNRM, 5735738]
[paragraph, [106.0, 102.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 120.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 138.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 156.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 174.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 192.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 210.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 228.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 246.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 264.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 282.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [106.0, 300.0, 1788.0, 18.0], shoonya_2s4MBY2XE01CWX, 5735738]
[paragraph, [114.0, 366.0, 1770.0, 18.0], DCSeLTiqI3, 5735738]
[paragraph, [114.0, 384.0, 1770.0, 18.0], DCSeLTiqI3, 5735738]
[paragraph, [114.0, 402.0, 1770.0, 18.0], DCSeLTiqI3, 5735738]
[paragraph, [114.0, 420.0, 1770.0, 18.0], DCSeLTiqI3, 5735738]
[paragraph, [109.0, 459.0, 1782.0, 18.0], 1PF5wE2Hj8, 5735738]
[paragraph, [109.0, 477.0, 1782.0, 18.0], 1PF5wE2Hj8, 5735738]
[paragraph, [109.0, 495.0, 1782.0, 18.0], 1PF5wE2Hj8, 5735738]
[paragraph, [109.0, 513.0, 1782.0, 18.0], 1PF5wE2Hj8, 5735738]
[paragraph, [103.0, 551.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 569.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 587.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 605.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 623.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 641.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 659.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 677.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 695.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [103.0, 713.0, 1793.0, 18.0], shoonya_1sM1QEM4CZQMP6, 5735738]
[paragraph, [105.0, 758.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 776.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 794.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 812.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 830.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 848.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 866.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 884.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 902.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 920.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 938.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 956.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 974.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
[paragraph, [105.0, 992.0, 1788.0, 18.0], shoonya_0sZ884TZDVCB6Z, 5735738]
