[792, 612]
[folio, [261.0, 46.0, 74.0, 18.0], ohZd2V5CQl, 6492306]
[paragraph, [88.0, 87.0, 414.0, 18.0], _onD64eWM7, 6492306]
[paragraph, [88.0, 105.0, 414.0, 18.0], _onD64eWM7, 6492306]
[paragraph, [85.0, 133.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 151.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 169.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 187.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 205.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 223.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 241.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 259.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [85.0, 277.0, 418.0, 18.0], SaMcMc_ClW, 6492306]
[paragraph, [80.0, 313.0, 420.0, 18.0], 1cJZOFmvWl, 6492306]
[paragraph, [80.0, 331.0, 420.0, 18.0], 1cJZOFmvWl, 6492306]
[paragraph, [124.0, 354.0, 389.0, 18.0], H3coeULHBY, 6492306]
[paragraph, [124.0, 372.0, 389.0, 18.0], H3coeULHBY, 6492306]
[paragraph, [79.0, 396.0, 436.0, 18.0], kqF-BCJXU_, 6492306]
[paragraph, [79.0, 414.0, 436.0, 18.0], kqF-BCJXU_, 6492306]
[paragraph, [79.0, 432.0, 436.0, 18.0], kqF-BCJXU_, 6492306]
[paragraph, [79.0, 450.0, 436.0, 18.0], kqF-BCJXU_, 6492306]
[paragraph, [79.0, 468.0, 436.0, 18.0], kqF-BCJXU_, 6492306]
[paragraph, [69.0, 493.0, 438.0, 18.0], czfYt7zH2r, 6492306]
[paragraph, [69.0, 511.0, 438.0, 18.0], czfYt7zH2r, 6492306]
[paragraph, [76.0, 534.0, 434.0, 18.0], zD-o2OxcMe, 6492306]
[paragraph, [76.0, 552.0, 434.0, 18.0], zD-o2OxcMe, 6492306]
[paragraph, [81.0, 573.0, 420.0, 18.0], wcQIpHpa2P, 6492306]
[paragraph, [81.0, 591.0, 420.0, 18.0], wcQIpHpa2P, 6492306]
[paragraph, [92.0, 615.0, 421.0, 18.0], DCgfGoF1vP, 6492306]
[paragraph, [92.0, 633.0, 421.0, 18.0], DCgfGoF1vP, 6492306]
[paragraph, [89.0, 671.0, 416.0, 18.0], GHV7cBXo91, 6492306]
[paragraph, [89.0, 689.0, 416.0, 18.0], GHV7cBXo91, 6492306]
