[842, 596]
[folio, [59.0, 28.0, 83.0, 18.0], sBoX-bV3HN, 6464290]
[website-link, [397.0, 28.0, 139.0, 18.0], DP4Pt2goby, 6464290]
[paragraph, [137.0, 67.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 85.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 103.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 121.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 139.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 157.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 175.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 193.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 211.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 229.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 247.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 265.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 283.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 301.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 319.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 337.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 355.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 373.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 391.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 409.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 427.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 445.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 463.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 481.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 499.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 517.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 535.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 553.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 571.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 589.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 607.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 625.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 643.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 661.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 679.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 697.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 715.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
[paragraph, [137.0, 733.0, 257.0, 18.0], shoonya_1sX6F2NDA34Q2P, 6464290]
