[2339, 1609]
[folio, [831.0, 98.0, 550.0, 36.0], IPLFUElye2, 5657253]
[folio, [831.0, 134.0, 550.0, 36.0], IPLFUElye2, 5657253]
[folio, [216.0, 104.0, 405.0, 36.0], mDLhHuA734, 5657253]
[paragraph, [101.0, 213.0, 1383.0, 36.0], shoonya_6s6N3IQA02TG61, 5657253]
[paragraph, [101.0, 249.0, 1383.0, 36.0], shoonya_6s6N3IQA02TG61, 5657253]
[paragraph, [101.0, 285.0, 1383.0, 36.0], shoonya_6s6N3IQA02TG61, 5657253]
[figure-caption, [512.0, 371.0, 585.0, 36.0], shoonya_9sXWU562TUSJN6, 5657253]
[figure-caption, [174.0, 1466.0, 612.0, 36.0], nu_IHKZJyU, 5657253]
[figure-caption, [174.0, 1502.0, 612.0, 36.0], nu_IHKZJyU, 5657253]
[figure-caption, [174.0, 1538.0, 612.0, 36.0], nu_IHKZJyU, 5657253]
[figure-caption, [174.0, 1574.0, 612.0, 36.0], nu_IHKZJyU, 5657253]
[figure-caption, [946.0, 1472.0, 568.0, 36.0], Tj1eQdFKgf, 5657253]
[figure-caption, [946.0, 1508.0, 568.0, 36.0], Tj1eQdFKgf, 5657253]
[figure-caption, [946.0, 1544.0, 568.0, 36.0], Tj1eQdFKgf, 5657253]
[paragraph, [114.0, 1628.0, 1377.0, 36.0], shoonya_5sDDDXW3R0B7BW, 5657253]
[paragraph, [114.0, 1664.0, 1377.0, 36.0], shoonya_5sDDDXW3R0B7BW, 5657253]
[paragraph, [114.0, 1700.0, 1377.0, 36.0], shoonya_5sDDDXW3R0B7BW, 5657253]
[paragraph, [114.0, 1736.0, 1377.0, 36.0], shoonya_5sDDDXW3R0B7BW, 5657253]
[paragraph, [114.0, 1786.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 1822.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 1858.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 1894.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 1930.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 1966.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 2002.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 2038.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[paragraph, [114.0, 2074.0, 1372.0, 36.0], shoonya_0sQ0Z9IZ2YE6BM, 5657253]
[folio, [132.0, 2156.0, 570.0, 36.0], r7kvXiSrZJ, 5657253]
[folio, [911.0, 2158.0, 578.0, 36.0], uPMzaWgpPR, 5657253]
[folio, [911.0, 2194.0, 578.0, 36.0], uPMzaWgpPR, 5657253]
