[2200, 1700]
[paragraph, [372.0, 110.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 146.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 182.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 218.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 254.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 290.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 326.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 362.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 398.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 434.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 470.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 506.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 542.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 578.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 614.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 650.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 686.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 722.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 758.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 794.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 830.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 866.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 902.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [372.0, 938.0, 1135.0, 36.0], shoonya_1sDS4MG263MBWW, 5734011]
[paragraph, [373.0, 1026.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1062.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1098.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1134.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1170.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1206.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1242.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1278.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1314.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1350.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1386.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1422.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1458.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1494.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1530.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1566.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1602.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1638.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1674.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1710.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1746.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1782.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [373.0, 1818.0, 1131.0, 36.0], shoonya_0sPY2HCX6ALT99, 5734011]
[paragraph, [372.0, 1881.0, 1132.0, 36.0], shoonya_2sK8AG31LR4M9I, 5734011]
[paragraph, [372.0, 1917.0, 1132.0, 36.0], shoonya_2sK8AG31LR4M9I, 5734011]
[paragraph, [372.0, 1953.0, 1132.0, 36.0], shoonya_2sK8AG31LR4M9I, 5734011]
[paragraph, [372.0, 1989.0, 1132.0, 36.0], shoonya_2sK8AG31LR4M9I, 5734011]
