[3508, 2481]
[contact-info, [656.0, 143.0, 1411.0, 52.5], l_ZBaiSRze, 6490748]
[contact-info, [656.0, 195.5, 1411.0, 52.5], l_ZBaiSRze, 6490748]
[contact-info, [656.0, 248.0, 1411.0, 52.5], l_ZBaiSRze, 6490748]
[contact-info, [656.0, 300.5, 1411.0, 52.5], l_ZBaiSRze, 6490748]
[headline, [1078.0, 463.0, 345.0, 52.5], no_zPVOFv5, 6490748]
[headline, [1078.0, 515.5, 345.0, 52.5], no_zPVOFv5, 6490748]
[sub-headline, [600.0, 702.0, 1243.0, 73.5], NzXLGwHAm7, 6490748]
[dateline, [1057.0, 954.0, 348.0, 52.5], ILSuYzGM0U, 6490748]
[paragraph, [202.0, 1219.0, 485.0, 52.5], CvIp_FpVRO, 6490748]
[paragraph, [208.0, 1327.0, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[paragraph, [208.0, 1379.5, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[paragraph, [208.0, 1432.0, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[paragraph, [208.0, 1484.5, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[paragraph, [208.0, 1537.0, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[paragraph, [208.0, 1589.5, 2079.0, 52.5], 6UO1mKWhG9, 6490748]
[ordered-list, [245.0, 1729.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 1781.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 1834.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 1886.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 1939.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 1991.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2044.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2096.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2149.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2201.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2254.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2306.5, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[ordered-list, [245.0, 2359.0, 2042.0, 52.5], XYeLs2rJSt, 6490748]
[contact-info, [1776.0, 2681.0, 538.0, 52.5], GU2MoyHEqg, 6490748]
[contact-info, [1776.0, 2733.5, 538.0, 52.5], GU2MoyHEqg, 6490748]
[contact-info, [1776.0, 2786.0, 538.0, 52.5], GU2MoyHEqg, 6490748]
[contact-info, [1776.0, 2838.5, 538.0, 52.5], GU2MoyHEqg, 6490748]
[contact-info, [1776.0, 2891.0, 538.0, 52.5], GU2MoyHEqg, 6490748]
[contact-info, [1776.0, 2943.5, 538.0, 52.5], GU2MoyHEqg, 6490748]
[placeholder-text, [1966.0, 2749.0, 289.0, 18.0], UHnE-49Spr, 6490748]
[placeholder-text, [1966.0, 2767.0, 289.0, 18.0], UHnE-49Spr, 6490748]
[placeholder-text, [1966.0, 2785.0, 289.0, 18.0], UHnE-49Spr, 6490748]
[contact-info, [208.0, 3262.0, 516.0, 52.5], dtOqOMYAhI, 6490748]
