[2339, 1653]
[paragraph, [247.0, 244.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 280.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 316.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 352.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 388.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 424.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [247.0, 460.0, 1156.0, 36.0], shoonya_0sQL0C0LA34LTM, 5687007]
[paragraph, [250.0, 506.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 542.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 578.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 614.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 650.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 686.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 722.0, 1153.0, 36.0], shoonya_2s03WVBV9GU0RI, 5687007]
[paragraph, [250.0, 781.0, 1157.0, 36.0], shoonya_3s8877N5OY1H79, 5687007]
[paragraph, [250.0, 817.0, 1157.0, 36.0], shoonya_3s8877N5OY1H79, 5687007]
[paragraph, [250.0, 853.0, 1157.0, 36.0], shoonya_3s8877N5OY1H79, 5687007]
[paragraph, [250.0, 889.0, 1157.0, 36.0], shoonya_3s8877N5OY1H79, 5687007]
[paragraph, [250.0, 925.0, 1157.0, 36.0], shoonya_3s8877N5OY1H79, 5687007]
[paragraph, [446.0, 980.0, 338.0, 36.0], shoonya_8sB7U8RMQD7GYL, 5687007]
[paragraph, [446.0, 1016.0, 338.0, 36.0], shoonya_8sB7U8RMQD7GYL, 5687007]
[paragraph, [450.0, 1095.0, 278.0, 36.0], shoonya_4sP0FH6JZYPVF8, 5687007]
[paragraph, [450.0, 1131.0, 278.0, 36.0], shoonya_4sP0FH6JZYPVF8, 5687007]
[paragraph, [364.0, 1215.0, 917.0, 36.0], shoonya_5sRW6WG4A40DZM, 5687007]
[paragraph, [360.0, 1272.0, 203.0, 36.0], shoonya_7sZ1PQKJJA2IIF, 5687007]
[reference, [572.0, 1276.0, 123.0, 36.0], So1IHUpJxo, 5687007]
[paragraph, [357.0, 1332.0, 1043.0, 36.0], ZhzO6MlSH3, 5687007]
[paragraph, [250.0, 1407.0, 1155.0, 36.0], SziOEkFLkH, 5687007]
[paragraph, [250.0, 1443.0, 1155.0, 36.0], SziOEkFLkH, 5687007]
[paragraph, [250.0, 1479.0, 1155.0, 36.0], SziOEkFLkH, 5687007]
[paragraph, [250.0, 1515.0, 1155.0, 36.0], SziOEkFLkH, 5687007]
[paragraph, [250.0, 1551.0, 1155.0, 36.0], SziOEkFLkH, 5687007]
[reference, [250.0, 1609.0, 274.0, 36.0], g8g8N0ovFp, 5687007]
[paragraph, [247.0, 1669.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1705.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1741.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1777.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1813.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1849.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1885.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1921.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1957.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 1993.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 2029.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
[paragraph, [247.0, 2065.0, 1158.0, 36.0], shoonya_1sKQX633E9NUCI, 5687007]
