[1034, 680]
[folio, [229.0, 61.0, 206.0, 18.0], shoonya_0sEXJVZJZYH1IZ, 5740074]
[folio, [229.0, 79.0, 206.0, 18.0], shoonya_0sEXJVZJZYH1IZ, 5740074]
[paragraph, [64.0, 124.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 142.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 160.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 178.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 196.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 214.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 232.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 250.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 268.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 286.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [64.0, 304.0, 547.0, 18.0], tIJkM56y4M, 5740074]
[paragraph, [413.0, 345.0, 178.0, 18.0], xR0rzj5kbs, 5740074]
[paragraph, [60.0, 389.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 407.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 425.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 443.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 461.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 479.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 497.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 515.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [60.0, 533.0, 570.0, 18.0], SPwkZF6DWx, 5740074]
[paragraph, [156.0, 561.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 579.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 597.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 615.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 633.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 651.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 669.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 687.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 705.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 723.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [156.0, 741.0, 379.0, 18.0], cU5nCP3nZd, 5740074]
[paragraph, [103.0, 770.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 788.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 806.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 824.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 842.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 860.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 878.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 896.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [103.0, 914.0, 502.0, 18.0], bm7mI9Mrie, 5740074]
[paragraph, [390.0, 940.0, 176.0, 18.0], Ou22e6jtji, 5740074]
