[2035, 1452]
[paragraph, [237.0, 173.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 209.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 245.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 281.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 317.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 353.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 389.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [237.0, 425.0, 1095.0, 36.0], shoonya_1s6MX8NWPG7DXK, 5651238]
[paragraph, [236.0, 531.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 567.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 603.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 639.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 675.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 711.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [236.0, 747.0, 1094.0, 36.0], shoonya_3s27FL9WZ89U9M, 5651238]
[paragraph, [241.0, 927.0, 1085.0, 36.0], shoonya_5s2ESALW2HJWT3, 5651238]
[paragraph, [241.0, 963.0, 1085.0, 36.0], shoonya_5s2ESALW2HJWT3, 5651238]
[paragraph, [241.0, 999.0, 1085.0, 36.0], shoonya_5s2ESALW2HJWT3, 5651238]
[paragraph, [234.0, 1087.0, 1093.0, 36.0], shoonya_2sI2WYI9VJFU0U, 5651238]
[paragraph, [234.0, 1123.0, 1093.0, 36.0], shoonya_2sI2WYI9VJFU0U, 5651238]
[paragraph, [234.0, 1159.0, 1093.0, 36.0], shoonya_2sI2WYI9VJFU0U, 5651238]
[paragraph, [234.0, 1195.0, 1093.0, 36.0], shoonya_2sI2WYI9VJFU0U, 5651238]
[paragraph, [234.0, 1231.0, 1093.0, 36.0], shoonya_2sI2WYI9VJFU0U, 5651238]
[paragraph, [230.0, 1322.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1358.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1394.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1430.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1466.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1502.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1538.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1574.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1610.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1646.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1682.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1718.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1754.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1790.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1826.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1862.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
[paragraph, [230.0, 1898.0, 1097.0, 36.0], shoonya_0s8N2HXG3PW5MI, 5651238]
