[1445, 1091]
[folio, [1002.0, 44.0, 60.0, 18.0], shoonya_2sCF394GPJUXBB, 5747554]
[folio, [27.0, 45.0, 55.0, 18.0], shoonya_0s23EPC6SXP3DX, 5747554]
[paragraph, [170.0, 432.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 450.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 468.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 486.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 504.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 522.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 540.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 558.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 576.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 594.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 612.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 630.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 648.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 666.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 684.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 702.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 720.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 738.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 756.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 774.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 792.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 810.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
[paragraph, [170.0, 828.0, 628.0, 18.0], 1wj4IMVzYa, 5747554]
