[1638, 1048]
[paragraph, [118.0, 159.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 195.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 231.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 267.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 303.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 339.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 375.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 411.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 447.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 483.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 519.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 555.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 591.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 627.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [118.0, 663.0, 827.0, 36.0], shoonya_0sHQT1B8GYK1T3, 5680754]
[paragraph, [109.0, 723.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 759.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 795.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 831.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 867.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 903.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 939.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 975.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1011.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1047.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1083.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1119.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1155.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1191.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1227.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [109.0, 1263.0, 834.0, 36.0], shoonya_1sIKMB7ZFVXLIM, 5680754]
[paragraph, [117.0, 1325.0, 827.0, 36.0], shoonya_3sT6MADRAXVD2M, 5680754]
[paragraph, [117.0, 1361.0, 827.0, 36.0], shoonya_3sT6MADRAXVD2M, 5680754]
[paragraph, [117.0, 1397.0, 827.0, 36.0], shoonya_3sT6MADRAXVD2M, 5680754]
[paragraph, [117.0, 1433.0, 827.0, 36.0], shoonya_3sT6MADRAXVD2M, 5680754]
[paragraph, [117.0, 1469.0, 827.0, 36.0], shoonya_3sT6MADRAXVD2M, 5680754]
