[679, 512]
[ordered-list, [103.0, 50.0, 357.0, 18.0], shoonya_0sILT99OWFBOE6, 6495430]
[ordered-list, [103.0, 68.0, 357.0, 18.0], shoonya_0sILT99OWFBOE6, 6495430]
[ordered-list, [103.0, 86.0, 357.0, 18.0], shoonya_0sILT99OWFBOE6, 6495430]
[ordered-list, [103.0, 104.0, 357.0, 18.0], shoonya_0sILT99OWFBOE6, 6495430]
[ordered-list, [76.0, 132.0, 386.0, 18.0], 4MM79pFZHz, 6495430]
[ordered-list, [76.0, 150.0, 386.0, 18.0], 4MM79pFZHz, 6495430]
[ordered-list, [76.0, 168.0, 386.0, 18.0], 4MM79pFZHz, 6495430]
[ordered-list, [51.0, 199.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 217.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 235.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 253.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 271.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 289.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 307.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 325.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 343.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 361.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 379.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 397.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 415.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 433.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 451.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 469.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 487.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 505.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 523.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 541.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 559.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 577.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[ordered-list, [51.0, 595.0, 415.0, 18.0], PUNvH-11iL, 6495430]
[sub-ordered-list, [79.0, 261.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 279.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 297.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 315.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 333.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 351.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 369.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 387.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 405.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 423.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 441.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 459.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 477.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 495.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 513.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 531.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 549.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 567.0, 380.0, 18.0], q0LopmFhph, 6495430]
[sub-ordered-list, [79.0, 585.0, 380.0, 18.0], q0LopmFhph, 6495430]
[folio, [162.0, 620.0, 161.0, 18.0], XXghVhx7Sz, 6495430]
