[2339, 1653]
[paragraph, [324.0, 163.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 199.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 235.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 271.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 307.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 343.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [324.0, 379.0, 1136.0, 36.0], shoonya_3sH13YP9LTDKNA, 5734265]
[paragraph, [328.0, 443.0, 1134.0, 36.0], shoonya_4sHBYCJ6WRCTDU, 5734265]
[paragraph, [328.0, 479.0, 1134.0, 36.0], shoonya_4sHBYCJ6WRCTDU, 5734265]
[paragraph, [328.0, 515.0, 1134.0, 36.0], shoonya_4sHBYCJ6WRCTDU, 5734265]
[paragraph, [328.0, 551.0, 1134.0, 36.0], shoonya_4sHBYCJ6WRCTDU, 5734265]
[paragraph, [327.0, 610.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 646.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 682.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 718.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 754.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 790.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 826.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 862.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 898.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 934.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 970.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [327.0, 1006.0, 1136.0, 36.0], shoonya_0sPKUXK4T6PDKA, 5734265]
[paragraph, [326.0, 1054.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1090.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1126.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1162.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1198.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1234.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1270.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1306.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [326.0, 1342.0, 1138.0, 36.0], shoonya_2sL8Y7TVKYVCM1, 5734265]
[paragraph, [390.0, 1397.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1433.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1469.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1505.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1541.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1577.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1613.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1649.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1685.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1721.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1757.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1793.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1829.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1865.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1901.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [390.0, 1937.0, 1007.0, 36.0], shoonya_1s47745V4QBU90, 5734265]
[paragraph, [397.0, 2030.0, 1064.0, 36.0], shoonya_6sQF1EU0V6KA6T, 5734265]
[folio, [1104.0, 2153.0, 284.0, 36.0], hx7H7WyrLL, 5734265]
