[515, 727]
[section-title, [179.0, 57.0, 83.0, 30.0], shoonya_0sJXAVLYQJID33, 6532533]
[section-title, [533.0, 69.0, 82.0, 30.0], 7Ny2PoAyIP, 6532533]
[paragraph, [429.0, 122.0, 251.0, 18.0], ZZikePYKoz, 6532533]
[paragraph, [429.0, 140.0, 251.0, 18.0], ZZikePYKoz, 6532533]
[paragraph, [136.0, 136.0, 168.0, 18.0], mZS6VdKlvR, 6532533]
[paragraph, [136.0, 154.0, 168.0, 18.0], mZS6VdKlvR, 6532533]
[paragraph, [136.0, 172.0, 168.0, 18.0], mZS6VdKlvR, 6532533]
[paragraph, [136.0, 190.0, 168.0, 18.0], mZS6VdKlvR, 6532533]
[paragraph, [136.0, 208.0, 168.0, 18.0], mZS6VdKlvR, 6532533]
[paragraph, [459.0, 159.0, 253.0, 18.0], wN0oGIIHR8, 6532533]
[paragraph, [459.0, 177.0, 253.0, 18.0], wN0oGIIHR8, 6532533]
[paragraph, [437.0, 196.0, 237.0, 18.0], em-bNZ99nk, 6532533]
[paragraph, [437.0, 214.0, 237.0, 18.0], em-bNZ99nk, 6532533]
[paragraph, [453.0, 233.0, 242.0, 18.0], oFnwN_bw6D, 6532533]
[paragraph, [431.0, 269.0, 254.0, 18.0], 5Vu3RE2Ent, 6532533]
[paragraph, [431.0, 287.0, 254.0, 18.0], 5Vu3RE2Ent, 6532533]
[paragraph, [460.0, 306.0, 237.0, 18.0], 2NLfxYeDKA, 6532533]
[paragraph, [431.0, 341.0, 241.0, 18.0], PHNNiMcBQw, 6532533]
[paragraph, [431.0, 359.0, 241.0, 18.0], PHNNiMcBQw, 6532533]
[paragraph, [456.0, 378.0, 237.0, 18.0], NH-rs-mjZW, 6532533]
[paragraph, [456.0, 396.0, 237.0, 18.0], NH-rs-mjZW, 6532533]
[author, [288.0, 421.0, 77.0, 18.0], EwwVjzKTtM, 6532533]
[author, [288.0, 439.0, 77.0, 18.0], EwwVjzKTtM, 6532533]
