[2200, 1700]
[folio, [789.0, 392.0, 142.0, 36.0], shoonya_1sWEUYKRXEKK5W, 5732952]
[paragraph, [466.0, 487.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 523.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 559.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 595.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 631.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 667.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 703.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 739.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 775.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 811.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 847.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 883.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 919.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 955.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 991.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1027.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1063.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1099.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1135.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1171.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1207.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1243.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1279.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1315.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1351.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1387.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1423.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1459.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1495.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1531.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1567.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1603.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1639.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1675.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[paragraph, [466.0, 1711.0, 782.0, 36.0], shoonya_0s61M5J1TO3CO3, 5732952]
[footnote, [1291.0, 2008.0, 246.0, 36.0], L5aufx61nK, 5732952]
[footnote, [1291.0, 2044.0, 246.0, 36.0], L5aufx61nK, 5732952]
[folio, [802.0, 2100.0, 191.0, 36.0], yApzrW1NAW, 5732952]
