[1468, 909]
[folio, [390.0, 78.0, 160.0, 18.0], shoonya_2s6IHDXLMRII2F, 5770573]
[folio, [390.0, 96.0, 160.0, 18.0], shoonya_2s6IHDXLMRII2F, 5770573]
[paragraph, [80.0, 135.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 153.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 171.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 189.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 207.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 225.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 243.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 261.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 279.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 297.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 315.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 333.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 351.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 369.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 387.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 405.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 423.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 441.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 459.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 477.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 495.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 513.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 531.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [80.0, 549.0, 371.0, 18.0], shoonya_1sYFBSV55GGLLZ, 5770573]
[paragraph, [455.0, 144.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 162.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 180.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 198.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 216.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 234.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 252.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 270.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 288.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 306.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [455.0, 324.0, 382.0, 18.0], scB7iywJyq, 5770573]
[paragraph, [456.0, 359.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 377.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 395.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 413.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 431.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 449.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 467.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 485.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 503.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 521.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 539.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 557.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 575.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 593.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 611.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 629.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 647.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 665.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
[paragraph, [456.0, 683.0, 375.0, 18.0], pRqgBgWDPA, 5770573]
