[2339, 1653]
[paragraph, [247.0, 246.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 282.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 318.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 354.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 390.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 426.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 462.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 498.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 534.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 570.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 606.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 642.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 678.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 714.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[paragraph, [247.0, 750.0, 1159.0, 36.0], shoonya_1s1PE1PEYMJZCQ, 5686698]
[section-title, [245.0, 871.0, 410.0, 52.5], shoonya_2s723STL1WIL5R, 5686698]
[paragraph, [246.0, 943.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 979.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1015.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1051.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1087.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1123.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1159.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1195.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1231.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1267.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1303.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1339.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1375.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[paragraph, [246.0, 1411.0, 1157.0, 36.0], shoonya_0sKEIX0TKN2ZR8, 5686698]
[ordered-list, [314.0, 1495.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1531.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1567.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1603.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1639.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1675.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1711.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1747.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[ordered-list, [314.0, 1783.0, 632.0, 36.0], 8vu0la6xkY, 5686698]
[reference, [952.0, 1774.0, 173.0, 36.0], 0A70KG5M1G, 5686698]
[paragraph, [431.0, 1843.0, 975.0, 36.0], Hzi7f5dnYf, 5686698]
[paragraph, [243.0, 1913.0, 1165.0, 36.0], lcaR3Mtt4I, 5686698]
[paragraph, [243.0, 1949.0, 1165.0, 36.0], lcaR3Mtt4I, 5686698]
[paragraph, [243.0, 1985.0, 1165.0, 36.0], lcaR3Mtt4I, 5686698]
[paragraph, [243.0, 2021.0, 1165.0, 36.0], lcaR3Mtt4I, 5686698]
[paragraph, [243.0, 2057.0, 1165.0, 36.0], lcaR3Mtt4I, 5686698]
